"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
2015	"LETHAL WOOD PELLETS. CARBON MONOXIDE POISONING DUE TO INAPPROPRIATE STORAGE"	"CORTIS J;BENDER K;ROTHSCHILD MA;KAMPHAUSEN T"	"BIOFUELS;  CARBOXYHEMOGLOBIN;  CAUSE OF DEATH;  FORENSIC MEDICINE;  HEATING"	NA	"10.1007/s00194-014-0980-3"	"RECHTSMEDIZIN"	"INSTITUT FR RECHTSMEDIZIN, UNIVERSITT ZU KLN, MELATENGRTEL 60/62, KLN, 50823, GERMANY"	"Scopus"	"ARTICLE"
2015	"MALDESI: FUNDAMENTALS, DIRECT ANALYSIS, AND MS IMAGING"	"NAZARI M;MUDDIMAN DC"	"FORENSIC ANALYSIS;  INFRARED;  LASER DESORPTION;  LIPIDOMICS;  MALDESI;  MALDI;  MASS SPECTROMETRY IMAGING (MSI);  METABOLOMICS;  PHARMACEUTICAL ANALYSIS;  QUANTITATIVE MSI;  SECONDARY IONIZATION;  SYSTEMS BIOLOGY;  TISSUE ANALYSIS;  ULTRAVIOLET"	"DESORPTION;  DIGITAL FORENSICS;  INFRARED RADIATION;  MASS SPECTROMETRY;  MOLECULAR BIOLOGY;  TISSUE; FORENSIC ANALYSIS;  LASER DESORPTION;  LIPIDOMICS;  MALDESI;  MALDI;  MASS SPECTROMETRY IMAGING (MSI);  METABOLOMICS;  PHARMACEUTICAL ANALYSIS;  QUANTITATIVE MSI;  SECONDARY IONIZATION;  SYSTEMS BIOLOGY;  TISSUE ANALYSIS;  ULTRAVIOLET; ELECTROSPRAY IONIZATION"	"10.1007/978-3-319-04819-2_9"	"ADVANCES IN MALDI AND LASER-INDUCED SOFT IONIZATION MASS SPECTROMETRY"	"DEPARTMENT OF CHEMISTRY, W.M. KECK FTMS LABORATORY FOR HUMAN HEALTH RESEARCH, NORTH CAROLINA STATE UNIVERSITY, RALEIGH, NC  27695, UNITED STATES"	"Scopus"	"BOOK"
2015	"MODELING CLINICAL STATES AND METABOLIC RHYTHMS IN BIOARCHEOLOGY"	"QUALLS C;BIANUCCI R;SPILDE MN;PHILLIPS G;WU C;APPENZELLER O"	NA	"ARCHEOLOGY;  ARTICLE;  AUTONOMIC NERVE;  BIOARCHEOLOGY;  BIOLOGICAL RHYTHM;  CARDIOMEGALY;  CONFOCAL MICROSCOPY;  DYSCHONDROSTEOSIS;  GROWTH RATE;  HAIR GROWTH;  HAIR ROOT;  HEALTH STATUS;  HUMAN;  HYPERTRICHOSIS;  LIFE CYCLE;  MENTAL HEALTH;  METABOLISM;  SCANNING ELECTRON MICROSCOPY;  SHORT STATURE;  BIOLOGICAL MODEL;  FEMALE;  HAIR FOLLICLE;  HISTORY;  INNERVATION;  MALE;  NETHERLANDS;  PALEOPATHOLOGY;  ULTRASTRUCTURE; AUTONOMIC PATHWAYS; ANCIENT;  HUMANS;  MODELS; BIOLOGICAL"	"10.1155/2015/818724"	"BIOMED RESEARCH INTERNATIONAL"	"HEALTH SCIENCES CENTER, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM, UNITED STATES;DEPARTMENT OF BIOSCIENCES, CENTRE FOR ECOLOGICAL AND EVOLUTIONARY SYNTHESIS (CEES), UNIVERSITY OF OSLO, OSLO, NORWAY;DEPARTMENT OF PUBLIC HEALTH AND PEDIATRIC SCIENCES, UNIVERSITY OF TURIN, TURIN, ITALY;DEPARTMENT OF EARTH AND PLANETARY SCIENCES, INSTITUTE OF METEORITICS, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM, UNITED STATES;CANCER RESEARCH AND TREATMENT, CENTER FLUORESCENCE MICROSCOPY FACILITY, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM, UNITED STATES;DEPARTMENT OF PATHOLOGY, UNIVERSITY OF NEW MEXICO, ALBUQUERQUE, NM, UNITED STATES;NEW MEXICO HEALTH ENHANCEMENT AND MARATHON CLINICS RESEARCH FOUNDATION, ALBUQUERQUE, NM, UNITED STATES"	"Scopus"	"ARTICLE"
2015	"MOLECULAR WEIGHT DETERMINATION OF POLYETHYLENE TEREPHTHALATE"	"FARAH S;KUNDURU KR;BASU A;DOMB AJ"	"FIBER ANALYSIS;  GPC;  MOLECULAR WEIGHT DETERMINATION;  PET APPLICATIONS;  POLYETHYLENE TEREPHTHALATE (PET);  SYNTHETIC POLYESTERS"	"FIBERS;  FORENSIC ENGINEERING;  MOLECULAR WEIGHT;  POLYESTERS;  POLYETHYLENE TEREPHTHALATES; BIOMEDICAL INDUSTRY;  BIOMEDICAL RESEARCH;  CLAY NANOCOMPOSITES;  MOLECULAR WEIGHT ANALYSIS;  MOLECULAR WEIGHT DETERMINATION;  PET FIBERS;  POLYESTER FIBER;  POLYETHYLENE TEREPHTHALATES (PET); MOLECULAR IMAGING"	"10.1016/B978-0-323-31306-3.00008-7"	"POLY(ETHYLENE TEREPHTHALATE) BASED BLENDS, COMPOSITES AND NANOCOMPOSITES"	"INSTITUTE OF DRUG RESEARCH, SCHOOL OF PHARMACY-FACULTY OF MEDICINE, CENTER FOR NANOSCIENCE AND NANOTECHNOLOGY AND THE ALEX GRASS CENTER FOR DRUG DES. AND SYNTH., THE HEBREW UNIVERSITY OF JERUSALEM, JERUSALEM, ISRAEL"	"Scopus"	"BOOK"
2015	"NEW EUROPEAN ROPE TEST FACILITY"	"RIDGE IML;FLORY JF;BANFIELD SJ"	"ABRASION;  ANALYSIS;  BEND;  CABLE;  CHAIN;  DESIGN;  FIBER;  FIBRE;  FORENSIC;  ROPE;  TEST;  TORSION;  WIRE"	"ABRASION;  CABLES;  CHAINS;  DESIGN;  EQUIPMENT TESTING;  FIBERS;  LABORATORIES;  ROPE;  SOFTWARE TESTING;  TESTING;  THALLIUM ALLOYS;  TORSIONAL STRESS;  WIRE; ANALYSIS;  APPLICATION SPECIFIC;  BEND;  CONSULTANCY FIRMS;  ECONOMICAL OPERATION;  FORENSIC;  TESTING LABORATORIES;  TESTING PROGRAMS; WIRE ROPE"	"10.1109/OCEANS.2014.7003002"	"2014 OCEANS - ST. JOHN'S, OCEANS 2014"	"TTI TESTING, WALLINGFORD, OXFORDSHIRE, UNITED KINGDOM;TENSION TECHNOLOGY INTERNATIONAL, MORRISTOWN, NJ, UNITED STATES;TENSION TECHNOLOGY INTERNATIONAL, LTD., EASTBOURNE, EAST SUSSEX, UNITED KINGDOM"	"Scopus"	"CONFERENCE MATERIAL"
2015	"NEW INSIGHTS INTO DYE CHEMISTRY AND PHYSICS"	"BATCHELOR SN"	NA	"AZO DYES;  CELLULOSE;  CITRUS FRUITS;  ELECTRONIC STRUCTURE;  PHOTOOXIDATION;  SOLUTIONS; CELLULOSIC MATERIAL;  DETAILED MODELING;  DIFFUSION MEASUREMENTS;  DYE IDENTIFICATION;  MICROVISCOSITIES;  ONE-ELECTRON REDUCTIONS;  REDUCTION MECHANISMS;  SUBSTRATE STRUCTURE; SUBSTRATES"	"10.1111/cote.12138"	"COLORATION TECHNOLOGY"	"UNILEVER RESEARCH PORT SUNLIGHT, BEBINGTON, WIRRAL, CHESHIRE, CH63 3JW, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2015	"NONDESTRUCTIVE IDENTIFICATION OF DYE MIXTURES IN POLYESTER AND COTTON FIBERS USING RAMAN SPECTROSCOPY AND ULTRAVIOLET-VISIBLE (UV-VIS) MICROSPECTROPHOTOMETRY"	"WAS-GUBALA J;STARCZAK R"	NA	"BINARY MIXTURES;  COTTON;  COTTON FIBERS;  FIBERS;  INFRARED DEVICES;  MIXTURES;  POLYESTERS;  RAMAN SPECTROSCOPY;  SPECTROSCOPIC ANALYSIS; DISCRIMINATORY ANALYSIS;  EXCITATION SOURCES;  LIMITED CAPACITY;  MASS CONCENTRATION;  MICROSPECTROPHOTOMETRY;  NONDESTRUCTIVE IDENTIFICATION;  SPECTROSCOPIC METHOD;  VISIBLE AND ULTRAVIOLET; SYNTHETIC TEXTILE FIBERS; COTTON"	"10.1366/14-07567"	"APPLIED SPECTROSCOPY"	"INSTITUTE OF FORENSIC RESEARCH, CRIMINALISTICS DEPARTMENT, WESTERPLATTE 9, KRAKOW, 31-033, POLAND;JAGIELLONIAN UNIVERSITY, DEPARTMENT OF ANALYTICAL CHEMISTRY, INGARDENA 3, KRAKOW, 30-060, POLAND"	"Scopus"	"ARTICLE"
2015	"NUMERICAL SIMULATION OF CEMENT-TREATED SOIL REINFORCED WITH COIR FIBER SUBJECTED TO FLEXURAL LOADING"	"ANGGRAINI V;ASADI A;HUAT BBK;SYAMSIR A"	"CEMENT;  COIR FIBER;  FAILURE PATTERN;  FLEXURAL STRENGTH;  NUMERICAL ANALYSIS;  PLASTICITY INDEX;  SOFT MARINE CLAY;  YOUNG'S MODULUS"	"ABAQUS;  BENDING STRENGTH;  CEMENTS;  CLAY DEPOSITS;  ELASTIC MODULI;  FIBERS;  NUMERICAL ANALYSIS;  REINFORCEMENT;  SAFETY ENGINEERING;  SOFTWARE TESTING;  SOIL CEMENT;  SOILS;  STEAM TURBINES;  STRENGTH OF MATERIALS; CEMENT TREATED SOILS;  COIR FIBERS;  FAILURE PATTERNS;  FLEXURAL BEHAVIOR;  MARINE CLAYS;  PLASTICITY INDICES;  POTENTIAL FAILURES;  THREE-POINT BENDING TEST; FORENSIC ENGINEERING"	"10.1061/9780784479711.089"	"FORENSIC ENGINEERING 2015-PERFORMANCE OF THE BUILT ENVIRONMENT - PROCEEDINGS OF THE 7TH CONGRESS ON FORENSIC ENGINEERING"	"DEPARTMENT OF CIVIL ENGINEERING, FACULTY OF ENGINEERING, UNIVERSITI PUTRA MALAYSIA, SERDANG, SELANGOR, 43400, MALAYSIA;HOUSING RESEARCH CENTRE, DEPARTMENT OF CIVIL ENGINEERING, UNIVERSITI PUTRA MALAYSIA, SERDANG, SELANGOR, 43400, MALAYSIA;DEPARTMENT OF CIVIL ENGINEERING, COLLEGE OF ENGINEERING, UNIVERSITI TENAGA NASIONAL, KAJANG, SELANGOR, 43400, MALAYSIA"	"Scopus"	"CONFERENCE MATERIAL"
2015	"PERFORMANCE OF INDUSTRIAL CONCRETE FLOORS FOR WHEELED TRAFFIC"	"ROSSELL CJ;ABDI M;CHEN CPT;BAILEY WB"	"CONCRETE FLOORS;  FLOOR HARDENERS;  FLOOR PERFORMANCE;  INDUSTRIAL FLOORS;  SLAB-ON-GRADE;  WHEEL TRAFFIC"	"ABRASION;  CONCRETE CONSTRUCTION;  CONCRETES;  DEFORMATION;  FLOORS;  SHEAR STRESS;  WEAR RESISTANCE;  WHEELS; CONCRETE FLOOR;  CONTACT MECHANICS;  INDUSTRIAL CONCRETE FLOORS;  INDUSTRIAL FLOORS;  MACRO FIBERS;  METALLIC SURFACE;  MOVING WHEEL LOADS;  SLAB-ON-GRADE; FORENSIC ENGINEERING"	"10.1061/9780784479711.053"	"FORENSIC ENGINEERING 2015-PERFORMANCE OF THE BUILT ENVIRONMENT - PROCEEDINGS OF THE 7TH CONGRESS ON FORENSIC ENGINEERING"	"BOEING COMPANY, P.O. BOX 3707, SEATTLE, WA  98124-2207, UNITED STATES;BOEING COMPANY, 5300 INTERNATIONAL BLVD., NORTH CHARLESTON, SC  98124-2207, UNITED STATES"	"Scopus"	"CONFERENCE MATERIAL"
2015	"PHOTOACOUSTIC AND COLORIMETRIC VISUALIZATION OF LATENT FINGERPRINTS"	"SONG K;HUANG P;YI C;NING B;HU S;NIE L;CHEN X;NIE Z"	"BLOCK COPOLYMER;  COLORIMETRIC IMAGING;  GOLD NANOPARTICLES;  LATENT FINGERPRINTS;  PHOTOACOUSTIC IMAGING"	"BLOCK COPOLYMERS;  COLOR;  COLORIMETRY;  COST EFFECTIVENESS;  DIAGNOSIS;  FIBER OPTIC SENSORS;  GOLD;  METAL NANOPARTICLES;  NANOPARTICLES;  OPTICAL PROPERTIES;  PHOTOACOUSTIC EFFECT;  STYRENE;  VISUALIZATION; DIFFERENT SUBSTRATES;  DUAL-MODALITY IMAGING;  FORENSIC INVESTIGATION;  FUNCTIONALIZED GOLD NANOPARTICLES;  GOLD NANOPARTICLES;  LATENT FINGERPRINT;  PHOTO-ACOUSTIC IMAGING;  SIGNAL AMPLIFICATIONS; MEDICAL IMAGING; GOLD;  METAL NANOPARTICLE; CHEMISTRY;  DERMATOGLYPHICS;  HUMAN;  PHOTOACOUSTICS;  PROCEDURES; COLORIMETRY;  HUMANS;  PHOTOACOUSTIC TECHNIQUES"	"10.1021/acsnano.5b05629"	"ACS NANO"	"SCHOOL OF LIFE SCIENCE, CHANGCHUN NORMAL UNIVERSITY, CHANGCHUN, 130032, CHINA;GUANGDONG KEY LABORATORY FOR BIOMEDICAL MEASUREMENTS AND ULTRASOUND IMAGING, DEPARTMENT OF BIOMEDICAL ENGINEERING, SCHOOL OF MEDICINE, SHENZHEN UNIVERSITY, SHENZHEN, 518060, CHINA;DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY, UNIVERSITY OF MARYLAND, COLLEGE PARK, MD  20742, UNITED STATES;DEPARTMENT OF BIOMEDICAL ENGINEERING, UNIVERSITY OF VIRGINIA, CHARLOTTESVILLE, VA  22903, UNITED STATES;LABORATORY OF MOLECULAR IMAGING AND NANOMEDICINE (LOMIN), NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (NIBIB), NATIONAL INSTITUTES OF HEALTH, BETHESDA, MD  20892, UNITED STATES"	"Scopus"	"ARTICLE"
2015	"POSSIBILITY OF VISUALIZATION OF GASTROTHORAX BASED ON UNENHANCED POSTMORTEM COMPUTED TOMOGRAPHY/PMCT"	"OKUDA T;SHIOTANI S;KOBAYASHI T;HAYAKAWA H;OHNO Y"	"CONGENITAL DIAPHRAGMATIC HERNIA;  FORENSIC PATHOLOGY;  GASTRIC VOLVULUS;  PMCT;  SUDDEN DEATH;  TENSION GASTROTHORAX"	"C REACTIVE PROTEIN; ABDOMINAL PAIN;  ARTICLE;  ATELECTASIS;  AUTOPSY;  BLOATING;  BOCHDALEK HERNIA;  CASE REPORT;  CAUSE OF DEATH;  CHILD;  COLLAGEN FIBER;  COMPUTED TOMOGRAPHY SCANNER;  DIAPHRAGM MUSCLE;  EPICARDIUM;  GAS;  HEART LEFT VENTRICLE WALL;  HEART RIGHT VENTRICLE;  HEART RIGHT VENTRICLE HYPERTROPHY;  HISTOPATHOLOGY;  HUMAN;  HUMAN TISSUE;  INFLAMMATION;  LEUKOCYTE COUNT;  LUNG CONGESTION;  LUNG EDEMA;  LUNG VOLUME;  MALE;  MEDIASTINUM DISEASE;  MULTIDETECTOR COMPUTED TOMOGRAPHY;  PERICARDIUM;  PETECHIA;  PRESCHOOL CHILD;  PROTEIN BLOOD LEVEL;  STOMACH VOLUME;  STOMACH VOLVULUS;  TENSION GASTROTHORAX;  TENSION PNEUMOTHORAX;  THORACIC CAVITY;  THORAX DISEASE;  TRANSVERSE COLON;  WHOLE BODY CT;  CONGENITAL DIAPHRAGM HERNIA;  FORENSIC PATHOLOGY;  PATHOLOGY;  PROCEDURES;  RADIOGRAPHY;  RUPTURE; AUTOPSY; PRESCHOOL;  HERNIAS; DIAPHRAGMATIC; CONGENITAL;  HUMANS; SPONTANEOUS;  TOMOGRAPHY SCANNERS; X-RAY COMPUTED"	"10.1016/j.legalmed.2015.10.010"	"LEGAL MEDICINE"	"DEPARTMENT OF LEGAL MEDICINE, NIPPON MEDICAL SCHOOL, TOKYO, JAPAN;TSUKUBA MEDICAL EXAMINER'S OFFICE, TSUKUBA, JAPAN;DEPARTMENT OF RADIOLOGY, SEIREI FUJI HOSPITAL, FUJI, JAPAN;DEPARTMENT OF RADIOLOGICAL TECHNOLOGY, TSUKUBA MEDICAL CENTER, TSUKUBA, JAPAN"	"Scopus"	"ARTICLE"
2015	"PRINCIPAL COMPONENT ANALYSIS FOR THE FORENSIC DISCRIMINATION OF BLACK INKJET INKS BASED ON THE VIS-NIR FIBRE OPTICS REFLECTION SPECTRA"	"GL L;ORAVEC M;GEMEINER P;EPPAN M"	"FORENSIC DOCUMENT EXAMINATION;  INKJET INK;  PRINCIPAL COMPONENT ANALYSIS;  VIS-NIR SPECTROPHOTOMETRY"	"BLACK INKJET INK;  INK;  UNCLASSIFIED DRUG; ARTICLE;  CONTROLLED STUDY;  CORRELATION COEFFICIENT;  FORENSIC IDENTIFICATION;  GENERAL DEVICE;  HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY;  MASS FRAGMENTOGRAPHY;  MATHEMATICAL ANALYSIS;  PRINCIPAL COMPONENT ANALYSIS;  PRINTING;  PRIORITY JOURNAL;  REFERENCE DATABASE;  SPECTROPHOTOMETRY;  SPECTROSCOPY;  VALIDATION PROCESS;  VISIBLE AND NEAR INFRARED REGION FIBRE OPTICS REFLECTION SPECTROSCOPY"	"10.1016/j.forsciint.2015.09.011"	"FORENSIC SCIENCE INTERNATIONAL"	"FACULTY OF CHEMICAL AND FOOD TECHNOLOGY, INSTITUTE OF POLYMER MATERIALS, SLOVAK UNIVERSITY OF TECHNOLOGY, RADLINSKEHO 9, BRATISLAVA, 812 37, SLOVAKIA"	"Scopus"	"ARTICLE"
2015	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"NA NA"	NA	NA	NA	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	NA	"Scopus"	"CONFERENCE MATERIAL"
2015	"PROTRUSION OF THE TONGUE IN BODIES BURNED AFTER DEATH: TWO CASES OF ARSON TO COVER HOMICIDE"	"NIKOLI S;IVKOVI V"	"ARSON;  BURNED BODIES;  FIRE FATALITY;  FORENSIC PATHOLOGY;  HOMICIDE;  TONGUE PROTRUSION"	"ADULT;  ARSON;  AUTOPSY;  BURN;  CASE REPORT;  FEMALE;  FORENSIC PATHOLOGY;  HOMICIDE;  HUMAN;  MALE;  PATHOLOGY;  POSTMORTEM CHANGE;  PROCEDURES;  TONGUE; ADULT;  BURNS;  FIRESETTING BEHAVIOR;  HUMANS;  POSTMORTEM CHANGES"	"10.1177/0025802414542260"	"MEDICINE, SCIENCE AND THE LAW"	"INSTITUTE OF FORENSIC MEDICINE, UNIVERSITY OF BELGRADE  SCHOOL OF MEDICINE, SERBIA"	"Scopus"	"ARTICLE"
2015	"QUANTITATIVE ANALYSES OF FIBERS BY DIFFERENTIAL SCANNING CALORIMETRY"	"DENG F;LIN X;HE Y;LI S-X;ZI R;LAI S;ZENG X"	"DIFFERENTIAL SCANNING CALORIMETRY(DSC);  FIBERS;  FORENSIC SCIENCE;  INFRARED SPECTROSCOPY;  MOLTEN HEAT;  POLYESTER-COTTON COMPOSITE FIBER;  THERMAL ANALYSIS"	NA	"10.3724/SP.J.1249.2015.02121"	"SHENZHEN DAXUE XUEBAO (LIGONG BAN)/JOURNAL OF SHENZHEN UNIVERSITY SCIENCE AND ENGINEERING"	"GRADUATE SCHOOL AT SHENZHEN, TSINGHUA UNIVERSITY, SHENZHEN, 518055, CHINA;INSTITUTE OF FORENSIC SCIENCE AND TECHNOLOGY, SHENZHEN POLICE BUREAU, SHENZHEN, 518040, CHINA;SHENZHEN KEY LABORATORY OF SPECIAL FUNCTIONAL MATERIALS, SHENZHEN ENGINEERING LABORATORY OF ADVANCED TECHNOLOGY FOR CERAMICS, SHENZHEN UNIVERSITY, SHENZHEN, 518060, CHINA"	"Scopus"	"ARTICLE"
2015	"RECENT TRENDS IN ANALYTICAL METHODS AND SEPARATION TECHNIQUES FOR DRUGS OF ABUSE IN HAIR"	"BACIU T;BORRULL F;AGUILAR C;CALULL M"	"CAPILLARY ELECTROPHORESIS;  DRUG OF ABUSE;  GAS CHROMATOGRAPHY;  HAIR ANALYSIS;  LIQUID CHROMATOGRAPHY;  SAMPLE PREPARATION"	"CAPILLARY ELECTROPHORESIS;  CHROMATOGRAPHY;  GAS CHROMATOGRAPHY;  LIQUID CHROMATOGRAPHY;  MASS SPECTROMETRY; ANALYTICAL METHOD;  BLOOD ANALYSIS;  DRUG OF ABUSE;  HAIR ANALYSIS;  SAMPLE PREPARATION;  SAMPLE PREPARATION TECHNIQUES;  SEPARATION TECHNIQUES;  STATE OF THE ART; DRUG PRODUCTS; 3;4 METHYLENEDIOXYAMPHETAMINE;  7 AMINOCLONAZEPAM;  7 AMINOFLUNITRAZEPAM;  AMPHETAMINE;  ANTIDEPRESSANT AGENT;  BENZODIAZEPINE DERIVATIVE;  CAFFEINE;  CANNABINOID DERIVATIVE;  CATHINONE;  COCAINE;  DIAMORPHINE;  EPHEDRINE;  ERGONINE METHYL ESTER;  HALOPERIDOL;  HOMOCOCAINE;  HYPNOTIC AGENT;  KETAMINE;  LEVAMISOLE;  METHADONE;  METHAMPHETAMINE;  METHYLPHENIDATE;  MOLECULARLY IMPRINTED POLYMER;  MORPHINE;  MORPHINE 6 ACETATE;  NORCOCAINE;  PHENCYCLIDINE;  PSYCHEDELIC AGENT;  TETRAHYDROCANNABINOLIC ACID;  UNCLASSIFIED DRUG;  VENLAFAXINE; CAPILLARY ELECTROPHORESIS;  CAPILLARY ZONE ELECTROPHORESIS;  CATION SELECTIVE EXHAUSTIVE INJECTION;  CHEMICAL ANALYSIS;  CLEAN UP;  CONTAMINATION;  CORRELATION COEFFICIENT;  DEGRADATION;  DIODE ARRAY DETECTION;  DIRECT ANALYSIS IN REAL TIME MASS SPECTROMETRY;  DOSE RESPONSE;  DRUG ABUSE;  ELECTROSPRAY;  EXTRACTION;  FIELD AMPLIFIED SAMPLE INJECTION;  HAIR COLOR;  HAIR SAMPLE PREPARATION;  HAIR SAMPLING;  HAIR STORAGE;  HOLLOW FIBRE LIQUID PHASE MICROEXTRACTION;  HUMAN;  HYDROPHILICITY INTERACTION LIQUID CHROMATOGRAPHY;  ION MONITORING;  LIMIT OF DETECTION;  LIMIT OF QUANTITATION;  LIQUID LIQUID EXTRACTION;  LIQUID PHASE MICROEXTRACTION;  MATRIX SOLID PHASE DISPERSION;  METABOLITE;  MICELLAR ELECTROKINETIC CHROMATOGRAPHY;  MICROWAVE ASSISTED EXTRACTION;  NONHUMAN;  PIGMENT DISORDER;  PRECONCENTRATION;  PRESSURIZED LIQUID EXTRACTION;  REVIEW;  ROBBERY;  SENSITIVITY AND SPECIFICITY;  SEXUAL ASSAULT;  SOLID PHASE EXTRACTION;  SOLID PHASE MICROEXTRACTION;  SUPERCRITICAL FLUID EXTRACTION;  TANDEM MASS SPECTROMETRY;  TOXICITY TESTING;  TREND STUDY;  ULTRA PERFORMANCE LIQUID CHROMATOGRAPHY;  ULTRASONIC ASSISTED EXTRACTION;  VIOLENCE;  WASTE MANAGEMENT;  ANALYSIS;  CHEMISTRY;  FRACTIONATION;  HAIR;  LABORATORY DIAGNOSIS;  PROCEDURES;  SUBSTANCE ABUSE; ANALYTIC SAMPLE PREPARATION METHODS;  CHEMICAL FRACTIONATION;  CHEMISTRY TECHNIQUES; ANALYTICAL;  HUMANS;  SPECIMEN HANDLING;  SUBSTANCE ABUSE DETECTION"	"10.1016/j.aca.2014.06.051"	"ANALYTICA CHIMICA ACTA"	"DEPARTMENT OF ANALYTICAL CHEMISTRY AND ORGANIC CHEMISTRY, UNIVERSITAT ROVIRA I VIRGILI, SESCELADES CAMPUS, MARCELL DOMINGO, S/N, TARRAGONA, 43007, SPAIN"	"Scopus"	"REVIEW"
2015	"SEXUAL OFFENSES, ADULT: SEXUAL ASSAULT - PERSISTENCE OF BIOLOGICAL SAMPLES"	"NEWTON M"	"DNA ANALYSIS;  FORENSIC INVESTIGATION;  PERSISTENCE OF BIOLOGICAL SAMPLES;  SEXUAL ASSAULT"	NA	"10.1016/B978-0-12-800034-2.00343-8"	"ENCYCLOPEDIA OF FORENSIC AND LEGAL MEDICINE-SECOND EDITION"	"CATERHAM, UNITED KINGDOM"	"Scopus"	"BOOK"
2015	"SPECTRAL FIBER FEATURE SPACE EVALUATION FOR CRIME SCENE FORENSICS TRADITIONAL FEATURE CLASSIFICATION VS. BIOHASH OPTIMIZATION"	"ARNDT C;DITTMANN J;VIELHAUER C"	"DIGITIZED CRIME SCENE FORENSICS;  FEATURE SPACE EVALUATION;  FIBER ANALYSIS;  IDENTIFICATION;  INDIVIDUALIZATION"	"AUTHENTICATION;  BIOMETRICS;  CLASSIFIERS;  CRIME;  FORENSIC ENGINEERING;  HASH FUNCTIONS;  IDENTIFICATION (CONTROL SYSTEMS);  PETROLEUM RESERVOIR EVALUATION; CRIME SCENE FORENSICS;  EXPERIMENTAL TEST;  FEATURE CLASSIFICATION;  FEATURE SPACE;  FORENSIC EXAMINATIONS;  INDIVIDUALIZATION;  ON-GOING IMPROVEMENT;  USER AUTHENTICATION; FIBERS"	"10.5220/0005270402930302"	"VISAPP 2015 - 10TH INTERNATIONAL CONFERENCE ON COMPUTER VISION THEORY AND APPLICATIONS; VISIGRAPP, PROCEEDINGS"	"RESEARCH GROUP MULTIMEDIA AND SECURITY, DEPT. OF COMPUTER SCIENCE, OTTO-VON-GUERICKE UNIVERSITY MAGDEBURG, PO BOX 4120, MAGDEBURG, 39016, GERMANY;APPLIED COMPUTING DEPT., UNIVERSITY OF BUCKINGHAM, BUCKINGHAM, MK181EG, UNITED KINGDOM;INFORMATICS AND MEDIA DEPT., BRANDENBURG UNIVERSITY OF APPLIED SCIENCES, PO BOX 2132, BRANDENBURG, 14737, GERMANY"	"Scopus"	"CONFERENCE MATERIAL"
2015	"SPECTROMETRIC IMAGING OF POLARIZATION COLORS AND ITS APPLICATION IN FORENSIC FIBER ANALYSIS"	"VAN OIJEN TA;VAN DER WEERD J"	NA	"ANALYSIS;  COLOR;  FORENSIC SCIENCE;  IMAGE PROCESSING;  POLARIZATION MICROSCOPY;  PROCEDURES;  SPECTROSCOPY;  TEXTILE; COLOR;  FORENSIC SCIENCES; COMPUTER-ASSISTED;  MICROSCOPY; POLARIZATION;  SPECTRUM ANALYSIS;  TEXTILES"	"10.1366/14-07736"	"APPLIED SPECTROSCOPY"	"NETHERLANDS FORENSIC INSTITUTE, DEPARTMENT OF MICROTRACES, P.O. BOX 24044, THE HAGUE, 2490AA, NETHERLANDS"	"Scopus"	"ARTICLE"
2015	"SPME TECHNIQUES FOR BIOMEDICAL ANALYSIS"	"KATAOKA H"	NA	"VOLATILE AGENT; ARTICLE;  AUTOMATION;  BIOMEDICINE;  BIOTECHNOLOGICAL PROCEDURES;  FORENSIC MEDICINE;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  LIQUID CHROMATOGRAPHY;  PROCESS DEVELOPMENT;  PROCESS OPTIMIZATION;  QUANTITATIVE ANALYSIS;  SOLID PHASE MICROEXTRACTION;  STIR BAR SORPTIVE EXTRACTION;  THIN FILM MICROEXTRACTION;  CLINICAL CHEMISTRY;  DEVICES;  PROCEDURES; CLINICAL CHEMISTRY TESTS"	"10.4155/bio.15.145"	"BIOANALYSIS"	"SCHOOL OF PHARMACY, SHUJITSU UNIVERSITY, NISHIGAWARA, OKAYAMA, 703-8516, JAPAN"	"Scopus"	"ARTICLE"
