"PY"	"TI"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"DT"	"C1W"	"C1S"	"SO"	"Coder"	"DOI"	"DE"
2004	"TEXTILE DAMAGE CAUSED BY VAPOUR CLOUD EXPLOSIONS"	"WAS-GUBALA J;KRAUSS;WAS-GUBALA J;KRAUSS W"	"FORENSIC SCIENCE; CRIMINALISTICS; TEXTILE; DAMAGE; VAPOUR CLOUD; EXPLOSION"	""	"CRIMINALISTICS;  DAMAGE;  FORENSIC SCIENCE;  TEXTILE;  VAPOUR CLOUD EXPLOSION"	"ARTICLE;  CLOTHING;  COLOR;  DESTRUCTION;  FIBER;  FORENSIC SCIENCE;  HEAT;  HOUSEHOLD;  THERMAL INJURY;  VAPOR"	"ARTICLE"	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; INST FORENS RES, PL-31033 KRAKOW, POLAND; LANDESKRIMINALAMT BADEN WURTTEMBERG, FORENS SCI INST, D-70372 STUTTGART, GERMANY"	"INSTITUTE OF FORENSIC RESEARCH, WESTERPLATTE 9, 31-033 CRACOW, POLAND;FORENSIC SCIENCE INSTITUTE, LANDESKRIMINALAMT BADEN-WURTTEMBERG, TAUBENHEIMSTRAE 85, 70372 STUTTGART, GERMANY"	"SCIENCE AND JUSTICE"	"Scopus,WebOfScience"	"10.1016/S1355-0306(04)71720-7"	"FORENSIC SCIENCE; CRIMINALISTICS; TEXTILE; DAMAGE; VAPOUR CLOUD; EXPLOSION; CRIMINALISTICS;  DAMAGE;  FORENSIC SCIENCE;  TEXTILE;  VAPOUR CLOUD EXPLOSION"
1993	"TEXTILE FIBRE EXAMINATION. A DEFINITION FOR FORENSIC SCIENCE ON TEXTILE FIBRES DURING 1989-1992 [TEXTILFASERUNTERSUCHUNGEN. EINE STANDORTBESTIMMUNG AUF DEM FORENSISCHEN FACHGEBIET DER TEXTILFASERKUNDE IM SEITRAUM 1989-1992]"	"BRUSCHWEILER W;PFISTER R"	""	""	""	"FORENSIC SCIENCE;  REVIEW;  TEXTILE"	"REVIEW"	""	"WISSENSCHAFTLICHER DIENST, STADTPOLIZEI ZURICH, ZEUGHAUSSTRASSE 11, CH-8004 ZURICH, SWITZERLAND"	"ARCHIV FUR KRIMINOLOGIE"	"Scopus"	""	""
2008	"TEXTILE FIBRES ALONG THE BULLET PATH-EXPERIMENTAL STUDY ON A SKIN-GELATINE COMPOSITE MODEL"	"VENNEMANN B;DAUTEL F;BRAUNWARTH R;STRABURGER E;HUNZINGER M;POLLAK S;GROE PERDEKAMP M"	""	""	"BULLET TRACK;  COMPOSITE MODEL;  GUNSHOT WOUND;  TEXTILE FIBRES"	"GELATIN; ARTICLE;  BALLISTICS;  BODY REGIONS;  CLOTHING;  COMPOSITE MATERIAL;  GEOMETRY;  GUNSHOT INJURY;  MICROSCOPY;  PRIORITY JOURNAL;  TEXTILE; FORENSIC BALLISTICS;  GELATIN;  HUMANS;  MODELS; BIOLOGICAL;  TEXTILES;  VIDEO RECORDING;  WOUNDS; GUNSHOT"	"ARTICLE"	""	"INSTITUTE OF LEGAL MEDICINE, UNIVERSITY HOSPITAL FREIBURG, ALBERTSTRAE 9, 79104 FREIBURG, GERMANY;FREIBURG REGIONAL COUNCIL, KRIMINALTECHNISCHE UNTERSUCHUNGSSTELLE, BERLINER ALLEE 3 A, 79114 FREIBURG, GERMANY;FRAUNHOFER INSTITUTE FOR HIGH-SPEED DYNAMICS, ERNST-MACH-INSTITUT (EMI), AM CHRISTIANSWUHR 2, 79400 KANDERN, GERMANY"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"Scopus"	"10.1007/s00414-007-0221-3"	"BULLET TRACK;  COMPOSITE MODEL;  GUNSHOT WOUND;  TEXTILE FIBRES"
1991	"TEXTILES IN CRIMINAL INVESTIGATION WORK. I. FORENSIC WORK ON TRACES OF FIBRES. II. CRIMINAL EVIDENCE RELATED TO A MISSING GARMENT"	"BRUSCHWEILER W"	""	""	""	""	"ARTICLE"	""	"STADTPOLIZEI ZURICH, SWITZERLAND, SWITZERLAND"	"TEXTILVEREDLUNG"	"Scopus"	""	""
1979	"TEXTILFASERN UNTER DER VORHAUT - KRIMINALTECHNISCHER BEWEIS BEI EINEM SEXUALVERBRECHEN"	"MAEHLY AC;VON WACHENFELT MA"	""	""	"INVESTIGATION OF CLUES; SEXUAL ASSAULT;  SEXUAL ASSAULT; INVESTIGATION OF CLUES"	"FIBER;  FORENSIC MEDICINE;  PREPUCE;  SEXUAL CRIME;  TEXTILE; CRIMINOLOGY;  ENGLISH ABSTRACT;  FEMALE;  HUMAN;  MALE;  PENIS;  RAPE;  TEXTILES"	"ARTICLE"	""	"STAATLICHES KRIMINALTECHNISCHES LABORATORIUM, LINKPING, S-581 01, SWEDEN"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"Scopus"	"10.1007/BF02092034"	"INVESTIGATION OF CLUES; SEXUAL ASSAULT;  SEXUAL ASSAULT; INVESTIGATION OF CLUES"
1976	"TEXTILVERNDERUNGEN DURCH MNDUNGSFERNEN AUSTRITT VON PULVERGASEN"	"BONTE W;KIJEWSKI H"	""	""	"PULVERGASE; TROMMELSPALT;  SCHUENTFERNUNG; TEXTILVERNDERUNGEN;  TEXTILVERNDERUNGEN; PULVERGASE"	"AUTOPSY;  ELECTRON MICROSCOPY;  ETIOLOGY;  EXPLOSION;  FATALITY;  FIRING DISTANCE;  FORENSIC MEDICINE;  GAS;  GUNSHOT INJURY;  MAJOR CLINICAL STUDY;  REVOLVER;  SUICIDE;  ARTICLE;  CASE REPORT;  CRIME;  HUMAN;  MALE;  TEXTILE; AUTOPSY;  ENGLISH ABSTRACT;  TEXTILES;  WOUNDS; GUNSHOT"	"ARTICLE"	""	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT, WINDAUSWEG 2, GTTINGEN, D-3400, GERMANY"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"Scopus"	"10.1007/BF02114351"	"PULVERGASE; TROMMELSPALT;  SCHUENTFERNUNG; TEXTILVERNDERUNGEN;  TEXTILVERNDERUNGEN; PULVERGASE"
2002	"THE ``SKIN-SKULL-BRAIN MODEL'': A NEW INSTRUMENT FOR THE STUDY OF GUNSHOT EFFECTS"	"THALI MJ;KNEUBUEHL BP;ZOLLINGER U;DIRNHOFER R"	"SKIN-SKULL-BRAIN MODEL; HEAD MODEL; FORENSIC SCIENCE; GUNSHOT; BALLISTIC"	""	"BALLISTIC;  FORENSIC SCIENCE;  GUNSHOT;  HEAD MODEL;  SKIN-SKULL-BRAIN MODEL"	"ARTICLE;  BULLET;  CADAVER;  CEREBROVASCULAR ACCIDENT;  CONTROLLED STUDY;  EXPERIMENTAL MODEL;  FORENSIC SCIENCE;  FRACTURE;  GUNSHOT INJURY;  HEAD INJURY;  MORPHOLOGY;  NONHUMAN;  PRIORITY JOURNAL;  SKIN;  SKULL; BRAIN INJURIES;  FORENSIC MEDICINE;  HUMANS;  MODELS; ANATOMIC;  WOUNDS; GUNSHOT"	"ARTICLE"	"THALI, MJ (CORRESPONDING AUTHOR), UNIV BERN, INST FORENS MED, BUEHLSTR 20, CH-3012 BERN, SWITZERLAND; UNIV BERN, INST FORENS MED, CH-3012 BERN, SWITZERLAND; WEAP SYST \& AMMUNIT TEST CTR, DEF PROCUREMENT AGCY, CH-3602 THUN, SWITZERLAND"	"INSTITUTE OF FORENSIC MEDICINE, UNIVERSITY OF BERNE, BUEHLSTRASSE 20, CH-3012 BERNE, SWITZERLAND;DEFENSE PROCUREMENT AGENCY, WEAPON SYSTEMS AND AMMUNITION TEST CENTER, GENERAL HERZOG HOUSE, CH-3602 THUN, SWITZERLAND"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus,WebOfScience"	"10.1016/S0379-0738(01)00637-5"	"SKIN-SKULL-BRAIN MODEL; HEAD MODEL; FORENSIC SCIENCE; GUNSHOT; BALLISTIC; BALLISTIC;  FORENSIC SCIENCE;  GUNSHOT;  HEAD MODEL;  SKIN-SKULL-BRAIN MODEL"
2002	"THE ACTION OF AGING UPON CORONARY INTIMA AND RENAL MICROVASCULATURE IN USA AND ANDES POPULATIONS"	"TRACY RE;PARRA D;EISAGUIRRE W;ANTONIO TORRES BALANZA R"	""	""	"ARTERIOLOSCLEROSIS;  ATHEROSCLEROSIS;  HUMAN;  HYPERTENSION;  NEPHROSCLEROSIS"	"EOSIN;  HEMATOXYLIN;  PARAFFIN; ADOLESCENT;  ADULT;  AGED;  AGING;  ARTERY INTIMA PROLIFERATION;  ARTICLE;  ATHEROGENESIS;  ATHEROMA;  AUTOPSY;  CONTROLLED STUDY;  CORONARY ARTERY ATHEROSCLEROSIS;  DEMOGRAPHY;  DISEASE COURSE;  ENVIRONMENTAL FACTOR;  FEMALE;  HUMAN;  HUMAN TISSUE;  HYALINE DEGENERATION;  MAJOR CLINICAL STUDY;  MALE;  NEPHROSCLEROSIS;  OUTCOMES RESEARCH;  PERU;  PRIORITY JOURNAL;  RENAL ARTERY;  RIGHT CORONARY ARTERY;  SMOOTH MUSCLE FIBER;  TISSUE SECTION;  UNITED STATES;  BOLIVIA;  CORONARY ARTERIOSCLEROSIS;  CORONARY VESSELS;  DISEASE PROGRESSION;  HUMANS;  INDIANS; SOUTH AMERICAN;  KIDNEY;  LOUISIANA;  MIDDLE AGED;  NEOVASCULARIZATION; PATHOLOGIC;  TUNICA INTIMA"	"ARTICLE"	""	"DEPARTMENT OF PATHOLOGY, LOUISIANA STATE UNIVERSITY, HEALTH SCIENCES CENTER, 1902 PERDIDO STREET, NEW ORLEANS, LA 70112, UNITED STATES;FACULDAD DE MEDICINA, UNIVERSIDAD MAYOR DE SAN ANDRES, CASILLA NO. 10367, LA PAZ, BOLIVIA;INSTITUTO MEDICINA LEGAL, JIRON AZANGARO 118, JULIACA, PERU;SERVICIO MEDICO FORENSE, CASILLA 13763, LA PAZ, BOLIVIA"	"MECHANISMS OF AGEING AND DEVELOPMENT"	"Scopus"	"10.1016/S0047-6374(01)00376-1"	"ARTERIOLOSCLEROSIS;  ATHEROSCLEROSIS;  HUMAN;  HYPERTENSION;  NEPHROSCLEROSIS"
2005	"THE ANALYSIS AND COMPARISON OF BLUE WOOL FIBRE POPULATIONS FOUND AT RANDOM ON CLOTHING"	"WIGGINS KG;DRUMMOND P"	"BLUE WOOL FIBRES; POPULATIONS; SPECTRAL COMPARISON"	""	"BLUE WOOL FIBRES;  POPULATIONS;  SPECTRAL COMPARISON"	"DYE; ARTICLE;  CLOTHING;  COMPARATIVE STUDY;  FORENSIC SCIENCE;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  WOOL"	"ARTICLE"	"WIGGINS, K (CORRESPONDING AUTHOR), FORENS SCI SERV INC, 109 LAMBETH RD, LONDON SE1 7LP, ENGLAND; WIGGINS, K; DRUMMOND, P, FORENS SCI SERV INC, LONDON SE1 7LP, ENGLAND"	"FORENSIC SCIENCE SERVICE, 109 LAMBETH ROAD, LONDON, SE1 7LP, UNITED KINGDOM"	"SCIENCE AND JUSTICE"	"Scopus,WebOfScience"	"10.1016/S1355-0306(05)71650-6"	"BLUE WOOL FIBRES; POPULATIONS; SPECTRAL COMPARISON; BLUE WOOL FIBRES;  POPULATIONS;  SPECTRAL COMPARISON"
2015	"THE ANALYSIS OF COLORED ACRYLIC, COTTON, AND WOOL TEXTILE FIBERS USING MICRO-RAMAN SPECTROSCOPY. PART 2: COMPARISON WITH THE TRADITIONAL METHODS OF FIBER EXAMINATION"	"BUZZINI P;MASSONNET G"	"FORENSIC SCIENCE; CRIMINALISTICS; TRACE EVIDENCE; RAMAN SPECTROSCOPY; FOURIER TRANSFORM INFRARED SPECTROSCOPY; MICROSCOPY; MICROSPECTROPHOTOMETRY; THIN-LAYER CHROMATOGRAPHY; FIBERS; DYE ANALYSIS"	"REACTIVE DYES; EVIDENTIAL VALUE; BLUE; RED; MICROSPECTROPHOTOMETRY"	"CRIMINALISTICS;  DYE ANALYSIS;  FIBERS;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED SPECTROSCOPY;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  RAMAN SPECTROSCOPY;  THIN-LAYER CHROMATOGRAPHY;  TRACE EVIDENCE"	""	"ARTICLE"	"BUZZINI, P (CORRESPONDING AUTHOR), W VIRGINIA UNIV, FORENS \& INVEST SCI DEPT, 304 OGLEBAY HALL,POB 6121, MORGANTOWN, WV 26506 USA; BUZZINI, PATRICK, W VIRGINIA UNIV, FORENS \& INVEST SCI DEPT, MORGANTOWN, WV 26506 USA; MASSONNET, GENEVIEVE, UNIV LAUSANNE, ECOLE SCI CRIMINELLES, BATOCHIME, QUARTIER UNIL SORGE, CH-1015 LAUSANNE, SWITZERLAND"	"FORENSIC AND INVESTIGATIVE SCIENCE DEPARTMENT, WEST VIRGINIA UNIVERSITY, 304 OGLEBAY HALL, PO BOX 6121, MORGANTOWN, WV  26506-6121, UNITED STATES;ECOLE DES SCIENCES CRIMINELLES, UNIVERSITY OF LAUSANNE, BATOCHIME, QUARTIER UNIL SORGE, DORIGNY, LAUSANNE, CH-1015, SWITZERLAND"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1111/1556-4029.12654"	"FORENSIC SCIENCE; CRIMINALISTICS; TRACE EVIDENCE; RAMAN SPECTROSCOPY; FOURIER TRANSFORM INFRARED SPECTROSCOPY; MICROSCOPY; MICROSPECTROPHOTOMETRY; THIN-LAYER CHROMATOGRAPHY; FIBERS; DYE ANALYSIS; CRIMINALISTICS;  DYE ANALYSIS;  FIBERS;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED SPECTROSCOPY;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  RAMAN SPECTROSCOPY;  THIN-LAYER CHROMATOGRAPHY;  TRACE EVIDENCE"
2011	"THE ANALYSIS OF DYES IN BALL POINT PEN INKS ON SINGLE PAPER FIBRES USING LASER DESORPTION IONISATION TIME OF FLIGHT MASS SPECTROMETRY (LDI-TOFMS)"	"MATTHEWS B;WALKER GS;KOBUS H;PIGOU PE;BIRD C;SMITH G"	"INK ANALYSIS; DOCUMENT EXAMINATION; MASS SPECTROMETRY"	"IDENTIFICATION; COLORANTS; PIGMENTS"	"DOCUMENT EXAMINATION;  INK ANALYSIS;  MASS SPECTROMETRY"	"BALL PEN INK;  BASIC RED;  COPPER PHTHALOCYANIN;  DYE;  ETHYL VIOLET;  INK;  METHYL VIOLET;  RHODAMINE 6G;  RHODAMINE B;  UNCLASSIFIED DRUG;  VICTORIA BLUE B;  VICTORIA BLUE BO; ARTICLE;  CHEMICAL ANALYSIS;  CHEMICAL STRUCTURE;  CONTROLLED STUDY;  FORENSIC TOXICOLOGY;  FORGERY;  LASER DESORPTION IONIZATION TIME OF FLIGHT MASS SPECTROMETRY;  PAPER;  PRIORITY JOURNAL;  SAMPLING;  STEREOMICROSCOPY;  TIME OF FLIGHT MASS SPECTROMETRY;  WRITING"	"ARTICLE"	"KOBUS, H (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, FORENS SCI PROGRAM, SCH CHEM \& PHYS SCI, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; MATTHEWS, BRODERICK; WALKER, G STEWART; KOBUS, HILTON; PIGOU, PAUL, FLINDERS UNIV S AUSTRALIA, FORENS SCI PROGRAM, SCH CHEM \& PHYS SCI, ADELAIDE, SA 5001, AUSTRALIA; PIGOU, PAUL; BIRD, CAROLYNE; SMITH, GLYN, FORENS SCI S AUSTRALIA, ADELAIDE, SA 5000, AUSTRALIA"	"FORENSIC SCIENCE PROGRAM, SCHOOL OF CHEMICAL AND PHYSICAL SCIENCES, FLINDERS UNIVERSITY, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA;FORENSIC SCIENCE SOUTH AUSTRALIA, 21 DIVETT PLACE, ADELAIDE, SA 5000, AUSTRALIA"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus,WebOfScience"	"10.1016/j.forsciint.2011.03.033"	"INK ANALYSIS; DOCUMENT EXAMINATION; MASS SPECTROMETRY; DOCUMENT EXAMINATION;  INK ANALYSIS;  MASS SPECTROMETRY"
2001	"THE ANALYSIS OF FORENSIC SAMPLES USING LASER MICRO-PYROLYSIS GAS CHROMATOGRAPHY MASS SPECTROMETRY"	"ARMITAGE S;SAYWELL S;ROUX CP;LENNARD C;GREENWOOD P"	"FORENSIC SCIENCE; PAINT; SYNTHETIC FIBERS; PHOTOCOPIER TONER; PYROLYSIS; LASER; GAS CHROMATOGRAPHY; MASS SPECTROMETRY"	"ORGANIC GEOCHEMISTRY; TONERS; PETROLOGY; COAL"	"FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  LASER;  MASS SPECTROMETRY;  PAINT;  PHOTOCOPIER TONER;  PYROLYSIS;  SYNTHETIC FIBERS"	"PAINT; ANALYTIC METHOD;  ARTICLE;  CHEMICAL ANALYSIS;  FIBER;  LASER;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  PYROLYSIS;  REPRODUCIBILITY"	"ARTICLE"	"GREENWOOD, P (CORRESPONDING AUTHOR), AUSTRALIAN GEOL SURVEY ORG, ISOTOPE \& GEOCHEM LAB, POB 378, CANBERRA, ACT 2601, AUSTRALIA; UNIV TECHNOL SYDNEY, DEPT CHEM MAT \& FORENS SCI, BROADWAY, NSW 2007, AUSTRALIA; AUSTRALIAN FED POLICE, FORENS SERV, CANBERRA, ACT 2601, AUSTRALIA; CSIRO PETR, N RYDE, NSW 2113, AUSTRALIA"	"DEPARTMENT OF CHEMISTRY, MATERIALS AND FORENSIC SCIENCE, UNIVERSITY OF TECHNOLOGY, SYDNEY, P.O. BOX 123, BROADWAY, NSW 2007, AUSTRALIA;FORENSIC SERVICES, AUSTRALIAN FEDERAL POLICE, GPO BOX 401, CANBERRA, ACT 2601, AUSTRALIA;CSIRO PETROLEUM, P.O. BOX 136, NORTH RYDE, NSW 2113, AUSTRALIA"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1520/jfs15098j"	"FORENSIC SCIENCE; PAINT; SYNTHETIC FIBERS; PHOTOCOPIER TONER; PYROLYSIS; LASER; GAS CHROMATOGRAPHY; MASS SPECTROMETRY; FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  LASER;  MASS SPECTROMETRY;  PAINT;  PHOTOCOPIER TONER;  PYROLYSIS;  SYNTHETIC FIBERS"
2009	"THE ANALYSIS OF METAMERIC BLUE FIBERS AND THEIR FORENSIC SIGNIFICANCE"	"ENG M;MARTIN P;BHAGWANDIN C"	"FORENSIC SCIENCE; FIBERS; COLOR COMPARISON; METAMERISM; METAMERIC; FIBERS; UV-VISIBLE SPECTROPHOTOMETRY"	""	"COLOR COMPARISON;  FIBERS;  FORENSIC SCIENCE;  METAMERIC FIBERS;  METAMERISM;  UV-VISIBLE SPECTROPHOTOMETRY"	"COLORING AGENT; ARTICLE;  COLOR;  COLOR VISION;  HUMAN;  MICROSPECTROPHOTOMETRY;  PRIORITY JOURNAL;  TEXTILE FIBER;  ULTRAVIOLET SPECTROSCOPY"	"ARTICLE"	"ENG, M (CORRESPONDING AUTHOR), NEW YORK CITY POLICE LAB, CRIMINALIST SECT, 150-14 JAMAICA AVE, JAMAICA, NY 11432 USA; ENG, MARY, NEW YORK CITY POLICE LAB, CRIMINALIST SECT, JAMAICA, NY 11432 USA; MARTIN, PAUL, CRAIC TECHNOL INC, SAN DIMAS, CA 91773 USA; BHAGWANDIN, CANDIDA, CUNY JOHN JAY COLL CRIMINAL JUSTICE, NEW YORK, NY 10019 USA"	"CRIMINALISTICS SECTION, NEW YORK CITY POLICE LABORATORY, 150-14 JAMAICA AVENUE, JAMAICA, NY 11432, UNITED STATES;CRAIC TECHNOLOGIES,INC, 948 N. AMELIA AVENUE, SAN DIMAS, CA 91773, UNITED STATES;JOHN JAY COLLEGE OF CRIMINAL JUSTICE, THE CITY UNIVERSITY OF NEW YORK, 899 TENTH AVENUE, NEW YORK, NY 10019, UNITED STATES"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1111/j.1556-4029.2009.01079.x"	"FORENSIC SCIENCE; FIBERS; COLOR COMPARISON; METAMERISM; METAMERIC; FIBERS; UV-VISIBLE SPECTROPHOTOMETRY; COLOR COMPARISON;  FIBERS;  FORENSIC SCIENCE;  METAMERIC FIBERS;  METAMERISM;  UV-VISIBLE SPECTROPHOTOMETRY"
1985	"THE ANALYSIS OF TEXTILE MATERIALS AND TEXTILE ADDITIVES BY FOURIER TRANSFORM INFRARED (FTIR) PHOTOACOUSTIC SPECTROSCOPY (PAS)"	"HODSON J"	""	""	""	"ADDITIVES;  DATA HANDLING;  FOURIER TRANSFORMS;  PHOTOACOUSTIC SPECTROSCOPY;  SPECTRUM ANALYSIS;  SYNTHETIC TEXTILE FIBERS;  TEXTILES; EXTENDED RANGE;  FOURIER TRANSFORM INFRARED;  FT-IR/PAS;  SYNTHETIC MATERIALS;  TEXTILE ADDITIVES;  TEXTILE MATERIALS; FOURIER TRANSFORM INFRARED SPECTROSCOPY"	"CONFERENCE MATERIAL"	""	"QUALITY ASSURANCE/TECHNICAL SUPPORT (MATERIALS CENTRE), ROYAL ARSENAL EAST, WOOLWICH, LONDON, SE18 6TD, UNITED KINGDOM"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"Scopus"	"10.1117/12.970740"	""
1989	"THE APPLICATION OF ELECTROSTATICS IN FORENSIC SCIENCE"	"HEARN GL;SINGH S"	""	""	""	"ELECTRIC FIELDS;  PAINT--RECOVERY;  PROBES;  SEPARATORS--ELECTROSTATIC; ELECTROSTATIC SEPARATION;  FORENSIC SCIENCE;  HIGH RESOLUTION ELECTRIC FIELD PROBE; ELECTROSTATICS"	"ARTICLE"	""	"DEPARTMENT OF ELECTRICAL ENGINEERING (WOLFSON UNIT) UNIVERSITY OF SOUTHAMPTON, SOUTHAMPTON, ENGLAND S09 5NH, UNITED KINGDOM"	"JOURNAL OF ELECTROSTATICS"	"Scopus"	"10.1016/0304-3886(89)90043-0"	""
2017	"THE APPLICATION OF HOLLOW FIBER IN FORENSIC TOXICOLOGY"	"WANG C;HAO B;REN YF;DU JY;HAO HX"	""	""	""	""	"MEETING ABSTRACT"	"WANG, C; HAO, B; REN, Y F; DU, J Y; HAO, H X, COLLABORAT INNOVAT CTR JUDICIAL CIVILIZAT, SHANGHAI, PEOPLES R CHINA; WANG, C; HAO, B; DU, J Y; HAO, H X, CHINA UNIV POLIT SCI \& LAW, KEY LAB EVIDENCE SCI, MINIST EDUC, BEIJING, PEOPLES R CHINA; REN, Y F, PEOPLES PUBL SECUR UNIV CHINA, BEIJING, PEOPLES R CHINA"	""	"BASIC \& CLINICAL PHARMACOLOGY \& TOXICOLOGY"	"WebOfScience"	""	""
2010	"THE APPLICATION OF LASER SCANNING CONFOCAL MICROSCOPY TO THE EXAMINATION OF HAIRS AND TEXTILE FIBERS: AN INITIAL INVESTIGATION"	"KIRKBRIDE KP;TRIDICO SR"	""	""	"CONFOCAL MICROSCOPY;  CROSS-SECTION;  FIBER;  HAIR"	"DYE; ANIMAL TISSUE;  ARTICLE;  AUTOFLUORESCENCE;  HAIR ANALYSIS;  IMAGE ANALYSIS;  IMAGE DISPLAY;  LASER MICROSCOPY;  MEDICOLEGAL ASPECT;  NONHUMAN;  PIGMENTATION;  PRIORITY JOURNAL;  SIGNAL DETECTION;  TEXTILE FIBER; ANIMALS;  FLUORESCENCE;  FORENSIC MEDICINE;  HAIR;  HAIR COLOR;  HUMANS;  IMAGE PROCESSING; COMPUTER-ASSISTED;  MICROSCOPY; CONFOCAL;  RABBITS;  SOFTWARE;  TEXTILES;  TRICHOSURUS"	"ARTICLE"	""	"AUSTRALIAN FEDERAL POLICE, FORENSIC AND DATA CENTRES, WESTON, CANBERRA, ACT, AUSTRALIA"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus"	"10.1016/j.forsciint.2009.10.030"	"CONFOCAL MICROSCOPY;  CROSS-SECTION;  FIBER;  HAIR"
1956	"THE APPLICATION OF MICROCHEMISTRY IN FORENSIC CHEMISTRY"	"VAGNINA LL"	""	""	""	""	"ARTICLE"	""	"27TH MP CRIME LABORATORY, US ARMY, FRANKFURT AM MAIN, GERMANY"	"MIKROCHIMICA ACTA"	"Scopus"	"10.1007/BF01216604"	""
1993	"THE APPLICATION OF SELECTED HISTOCHEMICAL AND IMMUNOHISTOCHEMICAL MARKERS AND PROCEDURES TO THE DIAGNOSIS OF EARLY MYOCARDIAL DAMAGE"	"BRINKMANN B;SEPULCHRE MA;FECHNER G"	""	""	"HISTOCHEMISTRY;  IMMUNOHISTOCHEMISTRY;  ISCHEMIC DAMAGE;  MYOCARDIUM"	"ADULT;  AGED;  ARTICLE;  CONTROLLED STUDY;  FEMALE;  HEART DEATH;  HEART MUSCLE ISCHEMIA;  HISTOCHEMISTRY;  HUMAN;  HUMAN TISSUE;  IMMUNOHISTOCHEMISTRY;  MALE;  PRIORITY JOURNAL; ADULT; 80 AND OVER;  AUTOLYSIS;  CASE-CONTROL STUDIES;  CORONARY ARTERIOSCLEROSIS;  CORONARY THROMBOSIS;  FORENSIC MEDICINE;  HISTOCYTOCHEMISTRY;  MIDDLE AGE;  MYOCARDIAL INFARCTION;  NECROSIS;  ORGAN WEIGHT;  SENSITIVITY AND SPECIFICITY;  TIME FACTORS"	"ARTICLE"	""	"INSTITUT FR RECHTSMEDIZIN, WESTFLISCHE WILHELMS-UNIVERSITT MNSTER, VON-ESMARCH-STRASSE 86, MNSTER, D-48149, GERMANY"	"INTERNATIONAL JOURNAL OF LEGAL MEDICINE"	"Scopus"	"10.1007/BF01225234"	"HISTOCHEMISTRY;  IMMUNOHISTOCHEMISTRY;  ISCHEMIC DAMAGE;  MYOCARDIUM"
2000	"THE BIODEGRADATION OF THE FABRIC OF SOLDIERS' UNIFORMS"	"WAS-GUBALA J;SALERNO-KOCHAN R"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; WOOL; BIODEGRADATION; SOIL; UNIFORMS; MICROSCOPY; POLAND"	""	"BIODEGRADATION;  CRIMINALISTICS;  FIBRES;  FORENSIC SCIENCE;  MICROSCOPY;  POLAND;  SOIL;  UNIFORMS;  WOOL"	"ARTICLE;  BIODEGRADATION;  CLOTHING;  FIBER;  MICROSCOPY;  ORGANOLEPTIC PROPERTY;  SOIL;  SOLDIER;  TEXTILE;  WOOL"	"ARTICLE"	"WAS-GUBALA, J (CORRESPONDING AUTHOR), INST FORENS RES, WESTERPLATTE 9, PL-31033 KRAKOW, POLAND; INST FORENS RES, PL-31033 KRAKOW, POLAND; UNIV ECON, FAC IND COMMODITIES SCI, PL-30033 KRAKOW, POLAND"	"INSTITUTE OF FORENSIC RESEARCH, WESTERPLATTE 9, 31-033 CRACOW, POLAND;FAC. OF INDUST. COMMODITIES SCIENCE, UNIVERSITY OF ECONOMY, SIENKIEWICZA 4, 30-033 CRACOW, POLAND"	"SCIENCE AND JUSTICE"	"Scopus,WebOfScience"	"10.1016/S1355-0306(00)71928-9"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBRES; WOOL; BIODEGRADATION; SOIL; UNIFORMS; MICROSCOPY; POLAND; BIODEGRADATION;  CRIMINALISTICS;  FIBRES;  FORENSIC SCIENCE;  MICROSCOPY;  POLAND;  SOIL;  UNIFORMS;  WOOL"
