"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"THE TROPONIN-I FAST SKELETAL MUSCLE IS RELIABLE MARKER FOR THE DETERMINATION OF VITALITY IN THE SUICIDE HANGING"	2019	"DE MATTEIS A;DELL'AQUILA M;MAIESE A;FRATI P;LA RUSSA R;BOLINO G;FINESCHI V;BOLINO V"	"IMMUNOHISTOCHEMISTRY; TROPONIN I; VITALITY; SUICIDE; HANGING"	"TRYPTASE; MUTATION; TNNI2; SERUM; NECK; CD15"	"HANGING;  IMMUNOHISTOCHEMISTRY;  SUICIDE;  TROPONIN I;  VITALITY"	"ANTIBODY;TROPONIN I;TROPONIN I ANTIBODY;UNCLASSIFIED DRUG;BIOLOGICAL MARKER;ADULT;ARTICLE;CLINICAL ARTICLE;CONTROLLED STUDY;DIFFERENTIAL DIAGNOSIS;FEMALE;HANGING;HEART INFARCTION;HUMAN;HUMAN TISSUE;MALE;OPIATE ADDICTION;PHYSICAL CONSTITUTION AND HEALTH;PRIORITY JOURNAL;RELIABILITY;SKELETAL MUSCLE;SUICIDE;VITALITY;ASPHYXIA;CASE CONTROL STUDY;FORENSIC PATHOLOGY;IMMUNOLOGY;METABOLISM;MIDDLE AGED;NECK INJURY;NECK MUSCLE;PROCEDURES;STAINING;ANTIBODIES;BIOMARKERS;CASE-CONTROL STUDIES;HUMANS;NECK INJURIES;NECK MUSCLES;STAINING AND LABELING"	"FINESCHI, V (CORRESPONDING AUTHOR), SAPIENZA UNIV ROMA, DEPT ANAT HISTOL FORENS MED \& ORTHOPAED, VIALE REGINA ELENA 336, I-00185 ROME, ITALY; DE MATTEIS, ALESSANDRA; DELL'AQUILA, MASSIMILIANO; MAIESE, ANIELLO; FRATI, PAOLA; LA RUSSA, RAFFAELE; BOLINO, GIORGIO; FINESCHI, VITTORIO, SAPIENZA UNIV ROMA, DEPT ANAT HISTOL FORENS MED \& ORTHOPAED, VIALE REGINA ELENA 336, I-00185 ROME, ITALY"	"DEPARTMENT OF ANATOMY,HISTOLOGY FORENSIC MEDICINE AND ORTHOPAEDICS,SAPIENZA UNIVERSITY OF ROMA,VIALE REGINA ELENA 336,ROME,00185,ITALY"	"DEPARTMENT OF ANATOMY,HISTOLOGY FORENSIC MEDICINE AND ORTHOPAEDICS,SAPIENZA UNIVERSITY OF ROMA,VIALE REGINA ELENA 336,ROME,00185,ITALY"	"10.1016/j.forsciint.2019.05.055"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"IMMUNOHISTOCHEMISTRY;TROPONIN I;VITALITY;SUICIDE;HANGING"
"THE TUMOR CURED, BUT WHAT ABOUT THE PATIENT?"	2013	"KOENCZOEL F;FARKAS N"	"CYCLOPHOSPHAMIDE; POLYNEUROPATHY; OVARIAN CARCINOMA; CALORIMETRY"	"SCANNING CALORIMETRIC EXAMINATION; PSOAS MUSCLE-FIBERS; INTERMEDIATE; STATES; MYOSIN HEAD; NUCLEOTIDE; DSC"	""	""	"FARKAS, N (CORRESPONDING AUTHOR), SZIGETI UT 12, H-7624 PECS, HUNGARY; KOENCZOEL, FRANCISKA, PECSI TUDOMANYEGYET, ALTALANOS ORVOSTUDOMANYI KAR, IGAZSAGUGYI ORVOSTANI INTEZET, PECS, HUNGARY; FARKAS, NELLI, PECSI TUDOMANYEGYET, ALTALANOS ORVOSTUDOMANYI KAR, BIOANALITIKAI INTEZET, PECS, HUNGARY"	"FARKAS, N (CORRESPONDING AUTHOR), SZIGETI UT 12, H-7624 PECS, HUNGARY; KOENCZOEL, FRANCISKA, PECSI TUDOMANYEGYET, ALTALANOS ORVOSTUDOMANYI KAR, IGAZSAGUGYI ORVOSTANI INTEZET, PECS, HUNGARY; FARKAS, NELLI, PECSI TUDOMANYEGYET, ALTALANOS ORVOSTUDOMANYI KAR, BIOANALITIKAI INTEZET, PECS, HUNGARY"	NA	"10.1556/OH.2013.29575"	"ORVOSI HETILAP"	"ARTICLE"	"WebOfScience"	"CYCLOPHOSPHAMIDE;POLYNEUROPATHY;OVARIAN CARCINOMA;CALORIMETRY"
"THE USE OF A TUNABLE LIGHT SOURCE (MINI-CRIMESCOPE MCS-400, SPEX FORENSICS) IN DISSECTING MICROSCOPIC DETECTION OF CRYPTIC EPITHELIAL PARTICLES"	2007	"SCHULZ MM;WEHNER F;WEHNER HD"	"FORENSIC SCIENCE; FORENSIC BIOLOGY; TUNABLE LIGHT SOURCE; SKIN DEBRIS; DNA"	"LASER; FINGERPRINTS; STAINS; SALIVA; BLOOD; SEMEN"	"DNA;  FORENSIC BIOLOGY;  FORENSIC SCIENCE;  SKIN DEBRIS;  TUNABLE LIGHT SOURCE"	"ARTICLE;DNA DETERMINATION;EPIDERMIS;FLUORESCENCE;LIGHT;MICROSCOPE;MICROSCOPY;PRIORITY JOURNAL;SKIN;SKIN EPITHELIUM;EPITHELIUM;FORENSIC PATHOLOGY;HUMANS"	"SCHULZ, MM (CORRESPONDING AUTHOR), UNIV TUBINGEN, INST LEGAL MED, NAEGELESTR 5, D-72074 TUBINGEN, GERMANY; UNIV TUBINGEN, INST LEGAL MED, D-72074 TUBINGEN, GERMANY"	"INSTITUTE OF LEGAL MEDICINE,EBERHARD-KARLS-UNIVERSITY OF TUEBINGEN,NAEGELESTR. 5,D-72074 TUEBINGEN,GERMANY"	"INSTITUTE OF LEGAL MEDICINE,EBERHARD-KARLS-UNIVERSITY OF TUEBINGEN,NAEGELESTR. 5,D-72074 TUEBINGEN,GERMANY"	"10.1111/j.1556-4029.2007.00489.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FORENSIC BIOLOGY;TUNABLE LIGHT SOURCE;SKIN DEBRIS;DNA"
"THE USE OF COMPUTER-ASSISTED IMAGE ANALYSIS IN MEASURING THE HISTOLOGICAL STRUCTURE OF THE HUMAN MEDIAN NERVE"	2012	"MIZIA E;TOMASZEWSKI KA;LIS GJ;GONCERZ G;KURZYDO W"	""	""	"CARPAL TUNNEL;  MOTOR BRANCH;  NERVE BUNDLES"	"ARTICLE;CADAVER;CARPAL BONE;FEMALE;HISTOLOGY;HUMAN;IMAGE PROCESSING;MALE;MEDIAN NERVE;NERVE FIBER;CARPAL BONES;HUMANS;COMPUTER-ASSISTED;NERVE FIBERS"	NA	"DEPARTMENT OF ANATOMY,JAGIELLONIAN UNIVERSITY MEDICAL COLLEGE,UL. KOPERNIKA 12,31-034 KRAKW,POLAND; DEPARTMENT OF HISTOLOGY,KRAKOW,POLAND; INSTITUTE OF PHYSIOTHERAPY,POLAND"	"DEPARTMENT OF ANATOMY,JAGIELLONIAN UNIVERSITY MEDICAL COLLEGE,UL. KOPERNIKA 12,31-034 KRAKW,POLAND; DEPARTMENT OF HISTOLOGY,KRAKOW,POLAND; INSTITUTE OF PHYSIOTHERAPY,POLAND"	""	"FOLIA MORPHOLOGICA (POLAND)"	"ARTICLE"	"Scopus"	";CARPAL TUNNEL;MOTOR BRANCH;NERVE BUNDLES"
"THE USE OF FTIR MICROSPECTROSCOPY FOR THE IDENTIFICATION OF THERMALLY CHANGED FIBERS"	1996	"WAS J;KNITTEL D;SCHOLLMEYER E"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; THERMAL DEGRADATION; ORGANIC; AND INORGANIC COMPOUNDS; FOURIER TRANSFORM INFRARED MICROANALYSIS; FIBER; IDENTIFICATION"	""	"CRIMINALISTICS;  FIBER IDENTIFICATION;  FIBERS;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRARED MICROANALYSIS;  ORGANIC AND INORGANIC COMPOUNDS;  THERMAL DEGRADATION"	"ACRYLIC ACID;POLYAMIDE;POLYESTER;POLYPROPYLENE;ARTICLE;COTTON;DEGRADATION;FIBER;FORENSIC SCIENCE;INFRARED SPECTROSCOPY;PRIORITY JOURNAL;TEXTILE;THERMAL EXPOSURE;WOOL"	"WAS, J (CORRESPONDING AUTHOR), INST FORENS RES,WESTERPLATTE 9,PL-31033 KRAKOW,POLAND; UNIV DUISBURG GESAMTHSCH,NORTHWESTERN GERMAN TEXTILE RES CTR,D-47798 KREFELD,GERMANY"	"INSTITUTE OF FORENSIC RESEARCH,WESTERPLATTE 9,31-033 KRAKOW,POLAND; DUISBURG UNIVERSITY-NORTHWESTERN,GERMAN TEXTILE RESEARCH CENTER,FRANKENRING 2,D-47798 KREFELD,GERMANY"	"INSTITUTE OF FORENSIC RESEARCH,WESTERPLATTE 9,31-033 KRAKOW,POLAND; DUISBURG UNIVERSITY-NORTHWESTERN,GERMAN TEXTILE RESEARCH CENTER,FRANKENRING 2,D-47798 KREFELD,GERMANY"	"10.1520/jfs14038j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;THERMAL DEGRADATION;ORGANIC;AND INORGANIC COMPOUNDS;FOURIER TRANSFORM INFRARED MICROANALYSIS;FIBER;IDENTIFICATION;FIBER IDENTIFICATION;ORGANIC AND INORGANIC COMPOUNDS"
"THE USE OF LINEAR DICHROISM IN FORENSIC FIBRE EXAMINATIONS - PART 6. VALIDATION AND PRACTICAL ASPECTS OF MSP-PPL"	2012	"DE WAEL K;LEPOT L;LUNSTROOT K"	"LINEAR DICHROISM (LD); MICROSPECTROPHOTOMETRY (MSP); PLANE POLARIZED; LIGHT (PPL); METHOD VALIDATION; FIBRE EXAMINATION"	""	"FIBRE EXAMINATION;  LINEAR DICHROISM (LD);  METHOD VALIDATION;  MICROSPECTROPHOTOMETRY (MSP);  PLANE POLARIZED LIGHT (PPL)"	"ACETIC ACID;ACRYLIC ACID;POLYAMIDE;POLYESTER;SILK;ARTICLE;CONTROLLED STUDY;COTTON;FIBER;FORENSIC SCIENCE;LINEAR DICHROISM;MICROSPECTROPHOTOMETRY;VALIDATION PROCESS;WOOL"	"DE WAEL, K (CORRESPONDING AUTHOR), NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L; LUNSTROOT, K, NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY,FIBRES AND TEXTILES LABORATORY,VILVOORDSESTEENWEG 100,1120 BRUSSELS,BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY,FIBRES AND TEXTILES LABORATORY,VILVOORDSESTEENWEG 100,1120 BRUSSELS,BELGIUM"	"10.1016/j.scijus.2011.11.003"	"SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"LINEAR DICHROISM (LD);MICROSPECTROPHOTOMETRY (MSP);PLANE POLARIZED;LIGHT (PPL);METHOD VALIDATION;FIBRE EXAMINATION;PLANE POLARIZED LIGHT (PPL)"
"THE USE OF MELTING POINT AND REFRACTIVE INDEX DETERMINATION TO COMPARE COLOURLESS POLYESTER FIBRES"	1983	"GRIEVE MC"	""	""	"FIBRES;  MELTING POINT;  POLYESTER;  POLYMER VARIATION;  REFRACTIVE INDICES"	"POLYESTER;DIAGNOSIS;FIBER;FORENSIC MEDICINE;FORENSIC SCIENCE;IDENTIFICATION;MELTING POINT;METHODOLOGY;NONHUMAN;REFRACTION INDEX;THEORETICAL STUDY"	NA	"U.S. ARMY CRIMINAL INVESTIGATION LABORATORY,FRANKFURT/MAIN,GERMANY"	"U.S. ARMY CRIMINAL INVESTIGATION LABORATORY,FRANKFURT/MAIN,GERMANY"	"10.1016/0379-0738(83)90117-2"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";FIBRES;MELTING POINT;POLYESTER;POLYMER VARIATION;REFRACTIVE INDICES"
"THE USE OF OPTICAL COMPENSATORS IN FORENSIC FIBER EXAMINATIONS"	1984	"CARROLL GR"	""	""	""	""	"ROYAL CANADIAN MOUNTED POLICE,CENT FORENS LAB,OTTAWA K1G 3M8,ONTARIO,CANADA"	"ROYAL CANADIAN MOUNTED POLICE,CENT FORENS LAB,OTTAWA K1G 3M8,ONTARIO,CANADA"	NA	""	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"MEETING ABSTRACT"	"WebOfScience"	""
"THE USE OF SOLID-PHASE MICROEXTRACTION-GAS CHROMATOGRAPHY IN FORENSIC ANALYSIS"	2000	"FURTON KG;WANG J;HSU YL;WALTON J;ALMIRALL JR"	""	"HUMAN-BODY FLUIDS; MICRO-EXTRACTION SPME; POLYDIMETHYLSILOXANE-COATED; FIBER; MASS-SPECTROMETRY; GC-MS; RAPID ANALYSIS; HUMAN BLOOD; BIOLOGICAL; SAMPLES; LOCAL-ANESTHETICS; AQUEOUS SAMPLES"	""	""	"FURTON, KG (CORRESPONDING AUTHOR), FLORIDA INT UNIV, DEPT CHEM, MIAMI, FL 33199 USA; FLORIDA INT UNIV, DEPT CHEM, MIAMI, FL 33199 USA; FLORIDA INT UNIV, INT FORENS RES INST, MIAMI, FL 33199 USA"	"FURTON, KG (CORRESPONDING AUTHOR), FLORIDA INT UNIV, DEPT CHEM, MIAMI, FL 33199 USA; FLORIDA INT UNIV, DEPT CHEM, MIAMI, FL 33199 USA; FLORIDA INT UNIV, INT FORENS RES INST, MIAMI, FL 33199 USA"	NA	"10.1093/chromsci/38.7.297"	"JOURNAL OF CHROMATOGRAPHIC SCIENCE"	"REVIEW"	"WebOfScience"	""
"THE USE OF THE FOSTER \& FREEMAN FX5 FIBRE FINDER IN FORENSIC TEXTILE EXAMINATIONS"	1999	"WIGGINS KG;TURNER YJ;MILES JH"	"FORENSIC SCIENCE; FIBRES; TAPINGS; AUTOMATED SEARCH; FOSTER \& FREEMAN; FX5 FIBRE FINDER"	"THIN-LAYER CHROMATOGRAPHY; WOOL FIBERS; REACTIVE DYES; DYESTUFFS"	"AUTOMATED SEARCH;  FIBRES;  FORENSIC SCIENCE;  FOSTER AND FREEMAN;  FX5 FIBRE FINDER;  TAPINGS"	"ADHESIVE AGENT;ARTICLE;COLOR;FIBER;FORENSIC SCIENCE;INSTRUMENT;MICROSCOPY;TECHNIQUE;TEXTILE"	"WIGGINS, KG (CORRESPONDING AUTHOR), METROPOLITAN POLICE FORENS SCI LAB, FORENS SCI SERV, 109 LAMBETH RD, LONDON SE1 7LP, ENGLAND; METROPOLITAN POLICE FORENS SCI LAB, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND"	"FORENSIC SCIENCE SERVICE,METROPOLITAN LABORATORY,109 LAMBETH ROAD,LONDON SE1 7LP,UNITED KINGDOM"	"FORENSIC SCIENCE SERVICE,METROPOLITAN LABORATORY,109 LAMBETH ROAD,LONDON SE1 7LP,UNITED KINGDOM"	"10.1016/S1355-0306(99)72010-1"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;FIBRES;TAPINGS;AUTOMATED SEARCH;FOSTER \& FREEMAN;FX5 FIBRE FINDER;FOSTER AND FREEMAN"
"THE USE OF TRACE EVIDENCE IN MISSING PERSONS INVESTIGATIONS"	2016	"GWINNETT C"	""	""	"FIBRES;  HAIRS;  PERSISTENCE;  SOIL;  TRACE;  TRANSFER"	"NA"	NA	"SCIENCE CENTRE,STAFFORDSHIRE UNIVERSITY,LEEK ROAD,STOKE-ON-TRENT,STAFFORDSHIRE,ST4 2DF,UNITED KINGDOM"	"SCIENCE CENTRE,STAFFORDSHIRE UNIVERSITY,LEEK ROAD,STOKE-ON-TRENT,STAFFORDSHIRE,ST4 2DF,UNITED KINGDOM"	"10.1007/978-3-319-40199-7_30"	"HANDBOOK OF MISSING PERSONS"	"BOOK CHAPTER"	"Scopus"	";FIBRES;HAIRS;PERSISTENCE;SOIL;TRACE;TRANSFER"
"THE UTILITY OF POLYESTER AND COTTON AS SWABBING SUBSTRATES FOR THE REMOVAL OF CELLULAR MATERIAL FROM SURFACES"	2011	"MULLIGAN CM;KAUFMAN SR;QUARINO L"	""	""	"CELLULAR REMOVAL FROM SURFACES;  COTTON;  DNA SWABBING MEDIA;  FORENSIC DNA TYPING;  FORENSIC SCIENCE;  POLYESTER"	"DNA;POLYESTER;ALLELE;ARTICLE;CHEMISTRY;COTTON;DNA FINGERPRINTING;HUMAN;INSTRUMENTATION;LABORATORY DIAGNOSIS;METHODOLOGY;POLYMERASE CHAIN REACTION;SALIVA;ALLELES;COTTON FIBER;HUMANS;POLYESTERS;SPECIMEN HANDLING"	NA	"CEDAR CREST COLLEGE,FORENSIC SCIENCE PROGRAM,100 COLLEGE DRIVE,ALLENTOWN,PA 18104,UNITED STATES"	"CEDAR CREST COLLEGE,FORENSIC SCIENCE PROGRAM,100 COLLEGE DRIVE,ALLENTOWN,PA 18104,UNITED STATES"	"10.1111/j.1556-4029.2010.01659.x"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	";CELLULAR REMOVAL FROM SURFACES;COTTON;DNA SWABBING MEDIA;FORENSIC DNA TYPING;FORENSIC SCIENCE;POLYESTER"
"THE UTILITY OF SPATIAL ANALYSIS IN THE RECOGNITION OF NORMAL AND ABNORMAL PATTERNS IN BURNED HUMAN REMAINS"	2015	"FOJAS CL;CABO LL;PASSALACQUA NV;RAINWATER CW;PUENTES KS;SYMES SA"	""	""	"ALTERED HUMAN REMAINS;  BURNED BODIES;  FORENSIC ANTHROPOLOGISTS;  INDUSTRIAL CREMATION PROCEDURES;  POST FACTO EXAMINATIONS;  THERMAL TRAUMA"	"NA"	NA	"DEPARTMENT OF ANTHROPOLOGY,UNIVERSITY OF TENNESSEE,KNOXVILLE,TN  37996,UNITED STATES; DEPARTMENT OF APPLIED FORENSIC SCIENCES,MERCYHURST,ERIE,PA  16546,UNITED STATES; JOINT POW/MIA ACCOUNTING COMMAND - CENTRAL IDENTIFICATION LABORATORY,JOINT BASE PEARL HARBOR-HICKAMHI  96853-5530,UNITED STATES; NEW YORK UNIVERSITY,NEW YORK,NY  10016,UNITED STATES; DEPARTMENT OF ANTHROPOLOGY,CENTER FOR THE STUDY OF HUMAN ORIGINS,NEW YORK UNIVERSITY,NY  10003,UNITED STATES; NATIONAL INSTITUTE OF LEGAL MEDICINE AND FORENSIC SCIENCES,NORTH BRANCH,PORTO,4050-167,PORTUGAL; DEPARTMENT OF APPLIED FORENSIC SCIENCES,UNITED STATES"	"DEPARTMENT OF ANTHROPOLOGY,UNIVERSITY OF TENNESSEE,KNOXVILLE,TN  37996,UNITED STATES; DEPARTMENT OF APPLIED FORENSIC SCIENCES,MERCYHURST,ERIE,PA  16546,UNITED STATES; JOINT POW/MIA ACCOUNTING COMMAND - CENTRAL IDENTIFICATION LABORATORY,JOINT BASE PEARL HARBOR-HICKAMHI  96853-5530,UNITED STATES; NEW YORK UNIVERSITY,NEW YORK,NY  10016,UNITED STATES; DEPARTMENT OF ANTHROPOLOGY,CENTER FOR THE STUDY OF HUMAN ORIGINS,NEW YORK UNIVERSITY,NY  10003,UNITED STATES; NATIONAL INSTITUTE OF LEGAL MEDICINE AND FORENSIC SCIENCES,NORTH BRANCH,PORTO,4050-167,PORTUGAL; DEPARTMENT OF APPLIED FORENSIC SCIENCES,UNITED STATES"	"10.1002/9781118384213.ch16"	"SKELETAL TRAUMA ANALYSIS: CASE STUDIES IN CONTEXT"	"BOOK CHAPTER"	"Scopus"	";ALTERED HUMAN REMAINS;BURNED BODIES;FORENSIC ANTHROPOLOGISTS;INDUSTRIAL CREMATION PROCEDURES;POST FACTO EXAMINATIONS;THERMAL TRAUMA"
"THE VALUE OF INDUSTRIAL INQUIRIES IN CASES INVOLVING TEXTILE FIBERS"	1992	"WIGGINS KG;COOK R"	"INQUIRIES; INDUSTRY; CLOTHING; ROPE; MANUFACTURE"	"THIN-LAYER CHROMATOGRAPHY; SIMULATED CONTACTS; CLOTHING MATERIALS; WOOL; FIBERS; TRANSFERRED FIBERS; BLENDED FABRICS; CAR SEATS; PERSISTENCE;; WEAR; REDISTRIBUTION"	"CLOTHING;  ENQUIRIES;  INDUSTRY;  MANUFACTURE;  ROPE"	"ARTICLE;CLOTHING;CRIMINAL LAW;FIBER;FORENSIC SCIENCE;INDUSTRY;TEXTILE"	"WIGGINS, KG (CORRESPONDING AUTHOR), METROPOLITAN POLICE FORENS SCI LAB,109 LAMBETH RD,LONDON SE1 7LP,ENGLAND"	"THE METROPOLITAN POLICE FORENSIC SCIENCE LABORATORY,109 LAMBETH ROAD,LONDON,SE1 7LP,UNITED KINGDOM"	"THE METROPOLITAN POLICE FORENSIC SCIENCE LABORATORY,109 LAMBETH ROAD,LONDON,SE1 7LP,UNITED KINGDOM"	"10.1016/S0015-7368(92)73065-5"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	"Scopus,WebOfScience"	"INQUIRIES;INDUSTRY;CLOTHING;ROPE;MANUFACTURE;ENQUIRIES"
"THE VARIABILITY OF C9 EXPRESSION IN ISCHEMIC-NECROTIC LESIONS OF HUMAN MYOCARDIUM"	2017	"RENTEA I;PURCAREA V;LACRAMIOARA L;TITA A;IVAN LE;NEAGU O;BOSA M;CEAUSU M"	"C9 STAINING; IMMUNOHISTOCHEMISTRY; MYOCARDIAL INFARCTION; HYPOXIC; ISCHEMIC LESIONS"	"COMPLEMENT C9; INFARCTION; INJURY; DIAGNOSIS; ADULTS; REPAIR"	"C9 STAINING;  HYPOXIC - ISCHEMIC LESIONS;  IMMUNOHISTOCHEMISTRY;  MYOCARDIAL INFARCTION"	"COMPLEMENT COMPONENT C9;ADULT;ARTICLE;AUTOPSY;CADAVER;CARDIAC MUSCLE CELL;CLINICAL ARTICLE;CONTROLLED STUDY;DEATH;FEMALE;FORENSIC PATHOLOGY;HEART INFARCTION;HEART MUSCLE ISCHEMIA;HEART MUSCLE NECROSIS;HUMAN;HUMAN TISSUE;IMMUNOHISTOCHEMISTRY;MALE;MIDDLE AGED;MUSCLE CELL;PROTEIN EXPRESSION;YOUNG ADULT"	"CEAUSU, M (CORRESPONDING AUTHOR), MINA MINOVICI NATL INST LEGAL MED, DEPT PATHOL, BUCHAREST, ROMANIA; RENTEA, IRINA; LACRAMIOARA, LUCA; TITA, ALINA; BOSA, MARIA; CEAUSU, MIHAI, MINA MINOVICI NATL INST LEGAL MED, BUCHAREST, ROMANIA; PURCAREA, VICTOR, CAROL DAVILA UNIV MED \& PHARM, DEPT MKT \& MED TEHNOL, BUCHAREST, ROMANIA; IVAN, LARISA-ELENA, GIURGIU CTY FORENS SERV, GIURGIU, ROMANIA; NEAGU, OANA, EMERGENCY UNIV HOSP, BUCHAREST, ROMANIA; CEAUSU, ZENAIDA, SF PANTELIMON CLIN HOSP, BUCHAREST, ROMANIA; CEAUSU, MIHAI, CAROL DAVILA UNIV MED \& PHARM, BUCHAREST, ROMANIA"	"MINA MINOVICI NATIONAL INSTITUTE OF LEGAL MEDICINE,BUCHAREST,ROMANIA; CAROL DAVILA UNIVERSITY OF MEDICINE AND PHARMACY,DEPT. OF MARKETING AND MEDICAL TEHNOLOGIES,ROMANIA; GIURGIU COUNTY FORENSIC SERVICE,GIURGIU,ROMANIA; EMERGENCY UNIVERSITARY HOSPITAL,ROMANIA; SF. PANTELIMON CLINICAL HOSPITAL,ROMANIA"	"MINA MINOVICI NATIONAL INSTITUTE OF LEGAL MEDICINE,BUCHAREST,ROMANIA; CAROL DAVILA UNIVERSITY OF MEDICINE AND PHARMACY,DEPT. OF MARKETING AND MEDICAL TEHNOLOGIES,ROMANIA; GIURGIU COUNTY FORENSIC SERVICE,GIURGIU,ROMANIA; EMERGENCY UNIVERSITARY HOSPITAL,ROMANIA; SF. PANTELIMON CLINICAL HOSPITAL,ROMANIA"	"10.4323/rjlm.2017.325"	"ROMANIAN JOURNAL OF LEGAL MEDICINE"	"ARTICLE"	"Scopus,WebOfScience"	"C9 STAINING;IMMUNOHISTOCHEMISTRY;MYOCARDIAL INFARCTION;HYPOXIC;ISCHEMIC LESIONS;HYPOXIC - ISCHEMIC LESIONS"
"THE VIABILITY AND POSSIBLE APPLICATIONS OF HIGH RESOLUTION MARK REPLICATOR CASTING COMPOUND IN DOCUMENT EXAMINATION"	2004	"HIGGINS K;WALKER JDS"	"FORENSIC SCIENCE; DOCUMENT EXAMINATION; INDENTATIONS; MARK REPLICATORS; FINGERPRINTS; TYPEWRITERS; PAPER FIBRE TRANSFER"	""	"DOCUMENT EXAMINATION;  FINGERPRINTS;  FORENSIC SCIENCE;  INDENTATIONS;  MARK REPLICATORS;  PAPER FIBRE TRANSFER;  TYPEWRITERS"	"METAL;PLASTIC;POLYMER;SILICONE;AEROSOL;ARTICLE;DEVICE;DOCUMENT EXAMINATION;FINGER DERMATOGLYPHICS;HUMAN;MATERIALS;PAPER;PRINTING;QUALITY CONTROL;STAINING;WRITING"	"WALKER, JDS (CORRESPONDING AUTHOR), NEW ZEALAND POLICE DOCUMENT EXAMINAT SECT, OFF COMMISSIONER, POB 693, WELLINGTON, NEW ZEALAND; NEW ZEALAND POLICE DOCUMENT EXAMINAT SECT, OFF COMMISSIONER, WELLINGTON, NEW ZEALAND; UNIV GLAMORGAN, SCH APPL SCI, TREFOREST CF37 1DL, M GLAM, WALES"	"SCHOOL OF APPLIED SCIENCES,UNIVERSITY OF GLAMORGAN,LIANTWIT ROAD,TREFOREST,MID GLAMORGAN CF37 1DL,UNITED KINGDOM; NEW ZEALAND POLICE DOCUM. EXAMIN. S.,OFFICE OF THE COMMISSIONER,PO BOX 693,WELLINGTON,NEW ZEALAND"	"SCHOOL OF APPLIED SCIENCES,UNIVERSITY OF GLAMORGAN,LIANTWIT ROAD,TREFOREST,MID GLAMORGAN CF37 1DL,UNITED KINGDOM; NEW ZEALAND POLICE DOCUM. EXAMIN. S.,OFFICE OF THE COMMISSIONER,PO BOX 693,WELLINGTON,NEW ZEALAND"	"10.1016/S1355-0306(04)71679-2"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;DOCUMENT EXAMINATION;INDENTATIONS;MARK REPLICATORS;FINGERPRINTS;TYPEWRITERS;PAPER FIBRE TRANSFER"
"THE WHITE ART: THE IMPORTANCE OF INTERPRETATION IN THE ANALYSIS OF PAPER"	2001	"BOWER P"	""	""	""	""	"BOWER, P (CORRESPONDING AUTHOR), 64 NUTBROOK ST, LONDON SE15 4LE, ENGLAND"	"BOWER, P (CORRESPONDING AUTHOR), 64 NUTBROOK ST, LONDON SE15 4LE, ENGLAND"	NA	""	"LOOKING AT PAPER: EVIDENCE \& INTERPRETATION"	"PROCEEDINGS"	"WebOfScience"	""
