Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Author Keywords	Index Keywords	Document Type	Publication Stage	Access Type	Source	EID
"Groves E., Palenik C.S."	56915536700;7005080203;	Applications of Blue Light-curing Acrylic Resin to Forensic Sample Preparation and Microtomy	2016	Journal of Forensic Sciences	61	2		489	493		1	10.1111/1556-4029.12993	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952700639&doi=10.1111%2f1556-4029.12993&partnerID=40&md5=ecedde29d051c1ac185a577c1f007458	Blue light-curing acrylic resin; Embedding media; Forensic science; Microscopy; Microtomy; Sample preparation; Trace evidence		Article	Final		Scopus	2-s2.0-84952700639
"Girela-López E., Ruz-Caracuel I., Beltrán C., Jimena I., Leiva-Cepas F., Jiménez-Reina L., Peña J."	55760371400;56544665500;56120160100;6602390503;56544570900;55908189000;57213658945;	Histological changes in skeletal muscle during death by drowning an experimental study	2016	American Journal of Forensic Medicine and Pathology	37	2		118	126		1	10.1097/PAF.0000000000000233	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962127808&doi=10.1097%2fPAF.0000000000000233&partnerID=40&md5=708e2ef2ead9fab3cc1a6fd8fb2cac19	Anoxia; Drowning Death; Ragged Red Fibers; Rhabdomyolysis; Skeletal Muscle	"animal; animal model; drowning; electron microscopy; forensic pathology; muscle fibril; muscle mitochondrion; pathology; skeletal muscle; Wistar rat; Animals; Drowning; Forensic Pathology; Microscopy, Electron; Mitochondria, Muscle; Models, Animal; Muscle, Skeletal; Myofibrils; Rats, Wistar"	Article	Final		Scopus	2-s2.0-84962127808
Newton M.	15830049400;	"Sexual Offenses, Adult: Sexual Assault - Persistence of Biological Samples"	2015	Encyclopedia of Forensic and Legal Medicine: Second Edition				328	333		1	10.1016/B978-0-12-800034-2.00343-8	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039984689&doi=10.1016%2fB978-0-12-800034-2.00343-8&partnerID=40&md5=aa70d6cda3782c9cdba9779590927d6f	DNA analysis; Forensic investigation; Persistence of biological samples; Sexual assault		Book Chapter	Final		Scopus	2-s2.0-85039984689
"Fojas C.L., Cabo L.L., Passalacqua N.V., Rainwater C.W., Puentes K.S., Symes S.A."	57193754630;26027756000;26032286800;35485614800;26538982800;6603910468;	The utility of spatial analysis in the recognition of normal and abnormal patterns in burned human remains	2015	Skeletal Trauma Analysis: Case Studies in Context				204	221		1	10.1002/9781118384213.ch16	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015948568&doi=10.1002%2f9781118384213.ch16&partnerID=40&md5=2b73aeb648bc44ed7e6463e46e909132	Altered human remains; Burned bodies; Forensic anthropologists; Industrial cremation procedures; post facto examinations; Thermal trauma		Book Chapter	Final		Scopus	2-s2.0-85015948568
"Dragutinovic A., Uitdehaag S., Kuiper I."	39461154300;35790381100;6603083702;	"A reply to: The transferability of diatoms to clothing and the methods appropriate for their collection and analysis in forensic geoscience, Forensic Sci. Int. 241 (2014) 127-137"	2015	Forensic Science International	247			e25			1	10.1016/j.forsciint.2014.11.018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921018245&doi=10.1016%2fj.forsciint.2014.11.018&partnerID=40&md5=8461bdb76a0da3e46aad76dae4da3b3f	Clothing; Diatoms; Forensic geoscience; Surface water; Trace evidence; Transfer	alcohol; hydrogen peroxide; water; clothing; diatom; extraction; fiber; flask shaker; foaming; forensic science; intermethod comparison; Letter; medical device; nonhuman; physical parameters; rinsing with ethanol method; rinsing with water method; shaker; human; laboratory diagnosis; procedures; Clothing; Diatoms; Humans; Specimen Handling	Letter	Final		Scopus	2-s2.0-84921018245
"Anggraini V., Asadi A., Huat B.B.K., Syamsir A."	35072537800;26530788200;35361794900;57195320482;	Numerical simulation of cement-treated soil reinforced with coir fiber subjected to flexural loading	2015	Forensic Engineering 2015: Performance of the Built Environment - Proceedings of the 7th Congress on Forensic Engineering				924	940		1	10.1061/9780784479711.089	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957989828&doi=10.1061%2f9780784479711.089&partnerID=40&md5=ef51aaf0af86c471a5e7c7a582c7b6e7	Cement; Coir fiber; Failure pattern; Flexural strength; Numerical analysis; Plasticity index; Soft marine clay; Young's modulus	ABAQUS; Bending strength; Cements; Clay deposits; Elastic moduli; Fibers; Numerical analysis; Reinforcement; Safety engineering; Software testing; Soil cement; Soils; Steam turbines; Strength of materials; Cement treated soils; Coir fibers; Failure patterns; Flexural behavior; Marine clays; Plasticity indices; Potential failures; Three-point bending test; Forensic engineering	Conference Paper	Final		Scopus	2-s2.0-84957989828
"Yang E.-H., Li V.C., Qiu J."	23029305100;7202621660;56052284500;	Early age cracking in a SHCC bridge deck link slab	2015	Forensic Engineering 2015: Performance of the Built Environment - Proceedings of the 7th Congress on Forensic Engineering				746	755		1	10.1061/9780784479711.073	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957941313&doi=10.1061%2f9780784479711.073&partnerID=40&md5=ee49a277457f03db2e010d7526eef421	Bridge deck; Early age cracking; Link slab; SHCC; Strain hardening cementitious composite	Age hardening; Bridge decks; Cost effectiveness; Cracks; Curing; Ductility; Hardening; Reinforced concrete; Reinforcement; Strain hardening; Wind effects; Concrete shrinkage; Cost-effective solutions; Early age cracking; Link slabs; Load carrying capability; SHCC; Strain-hardening cementitious composites; Temperature variation; Forensic engineering	Conference Paper	Final		Scopus	2-s2.0-84957941313
"Okuda T., Shiotani S., Kobayashi T., Hayakawa H., Ohno Y."	35389657500;7006295219;56091424300;15737214400;7401514839;	Possibility of visualization of gastrothorax based on unenhanced postmortem computed tomography/PMCT	2015	Legal Medicine	17	6		521	524		1	10.1016/j.legalmed.2015.10.010	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955281848&doi=10.1016%2fj.legalmed.2015.10.010&partnerID=40&md5=aaceac018f8749a41bc70094b91e129b	Congenital diaphragmatic hernia; Forensic pathology; Gastric volvulus; PMCT; Sudden death; Tension gastrothorax	"C reactive protein; abdominal pain; Article; atelectasis; autopsy; bloating; Bochdalek hernia; case report; cause of death; child; collagen fiber; computed tomography scanner; diaphragm muscle; epicardium; gas; heart left ventricle wall; heart right ventricle; heart right ventricle hypertrophy; histopathology; human; human tissue; inflammation; leukocyte count; lung congestion; lung edema; lung volume; male; mediastinum disease; multidetector computed tomography; pericardium; petechia; preschool child; protein blood level; stomach volume; stomach volvulus; tension gastrothorax; tension pneumothorax; thoracic cavity; thorax disease; transverse colon; whole body CT; autopsy; computed tomography scanner; congenital diaphragm hernia; forensic pathology; pathology; procedures; radiography; rupture; stomach volvulus; Autopsy; Child, Preschool; Forensic Pathology; Hernias, Diaphragmatic, Congenital; Humans; Male; Rupture, Spontaneous; Stomach Volvulus; Tomography Scanners, X-Ray Computed"	Article	Final		Scopus	2-s2.0-84955281848
"Holling C., Peitzmeier E.-U., Weissenböck H., Beilage E.G."	56950572000;55604896300;7004145064;6601971767;	Sudden death of replacement gilts caused by Vitamin E/selenium deficiency - A case report [Vitamin-E-Selen-Mangel als Ursache plötzlicher Todesfälle bei Jungsauen - Ein Fallbericht]	2015	Praktische Tierarzt	96	10		1034	1038		1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946565474&partnerID=40&md5=95817f4e1c989002bddfbd317c7b94b0	Danish genetics; Feed; Nutritional muscular degeneration		Article	Final		Scopus	2-s2.0-84946565474
"Arndt C., Dittmann J., Vielhauer C."	57198373867;35213216100;6602138719;	Spectral fiber feature space evaluation for crime scene forensics traditional feature classification vs. Biohash optimization	2015	"VISAPP 2015 - 10th International Conference on Computer Vision Theory and Applications; VISIGRAPP, Proceedings"	1			293	302		1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939518200&partnerID=40&md5=89b7d547b968c27d52bd0cb3fa1efdc3	Digitized crime scene forensics; Feature space evaluation; Fiber analysis; Identification; Individualization	Authentication; Biometrics; Classifiers; Computer vision; Crime; Hash functions; Identification (control systems); Crime scene forensics; Experimental test; Feature classification; Feature space; Forensic examinations; Individualization; On-going improvement; User authentication; Fibers	Conference Paper	Final		Scopus	2-s2.0-84939518200
"Chang K.H., Jayaprakash P.T., Abdullah A.F.L."	55645695400;7004736167;55621468900;	Application of different standard loading approaches during solid phase microextraction for forensic analysis of single particle smokeless powders	2015	Australian Journal of Forensic Sciences	47	2		147	160		1	10.1080/00450618.2014.907825	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926407681&doi=10.1080%2f00450618.2014.907825&partnerID=40&md5=805f7a3f947fe857e2f73e0c5b52ea49	forensic chemistry; gas chromatography-flame ionisation detection; in-vial standard loading approach; response curve; smokeless powder; solid phase microextraction	"2,4 dinitrotoluene; 2,6 dinitrotoluene; diphenylamine; ethyl centralite; methyl centralite; n,n diphenylformamide; naphthalene; pharmaceutical vehicles and additives; stabilizing agent; unclassified drug; analytic method; Article; calibration; controlled study; evaluation study; forensic science; gas chromatography; limit of detection; limit of quantitation; linear system; load carrying capacity; measurement accuracy; measurement precision; particle size; powder; reproducibility; smokeless powder; solid phase microextraction; standard"	Article	Final		Scopus	2-s2.0-84926407681
"Wang D., Meng P., Gong S."	55713307800;14422381800;57190853086;	Determination of triazolam in blood by hollow fiber liquid phase microextraction and GC/MS	2014	Chinese Journal of Forensic Medicine	29	3		202	205		1	10.13618/j.cnki.1001-5728.2014.03.004	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983505475&doi=10.13618%2fj.cnki.1001-5728.2014.03.004&partnerID=40&md5=20ea04bd4cc915c1f5616780569e4183	Blood; Forensic toxicologic analysis; GC/MS; Hollow fiber liquid phase microextraction; Triazolam	octanol; triazolam; Article; dilution; drug determination; hollow fiber; limit of detection; liquid phase microextraction; mass fragmentography; pH; temperature	Article	Final		Scopus	2-s2.0-84983505475
"Sablinskas V., Steiner G., Hof M., Machá? R."	6508391926;56468197900;15740013700;23477469000;	Applications	2014	"Handbook of Spectroscopy: Second, Enlarged Edition"	01-Apr			95	182		1	10.1002/9783527654703.ch6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940846561&doi=10.1002%2f9783527654703.ch6&partnerID=40&md5=94536666517c946b2f6a8bf5871c18df	Agriculture; Artwork; Catalyst; Excimer; Fiber optic probes; Fluorescence correlation; Food; Forensic; FRET; Gems; Ligand field; Medical; Metal complexes; Micropolarities; Microsampling; Moisture; Multipath excitation; Nanoparticles; Particle tracking; Pellets; Pharmaceutical; Photobleaching; Polarization; Polycyclic aromatic hydrocarbon; Polymers; Protein content; Quenching; Reflection absorption; Resonance Raman; Sample preparation; Sampling; Sensor; SERS; Single molecule; Steady state; Structural analysis; Sum frequency; Time resolution	Agriculture; Catalysts; Chemical contamination; Drug products; Excited states; Food products; Forster resonance energy transfer; Functional polymers; Gems; Metal complexes; Metal nanoparticles; Moisture; Nanoparticles; Ore pellets; Photobleaching; Polarization; Polycyclic aromatic hydrocarbons; Polymers; Quenching; Sampling; Sensors; Structural analysis; Artwork; Excimers; Fiberoptic probes; Fluorescence correlation; Forensic; Ligand field; Medical; Micropolarities; Microsampling; Multipath; Particle tracking; Protein contents; Reflection absorption; Resonance Raman; Sample preparation; SERS; Single molecule; Steady state; Sum frequency; Time resolution; Aromatic polymers	Book Chapter	Final		Scopus	2-s2.0-84940846561
"Yang C., Li Q., Gao Z., Zhang D., Qu X."	57190859753;57190857662;57190853097;57190863629;57190861658;	Application of headspace solid-phase microextraction and gas chromatography-mass spectrometry in determination of amphetamines in urine and hair samples	2014	Chinese Journal of Forensic Medicine	29	2		93	96		1	10.13618/j.issn.1001-5728.2014.02.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983486817&doi=10.13618%2fj.issn.1001-5728.2014.02.002&partnerID=40&md5=9d64c94cd08be6c9b75dc369c60679d2	Amphetamines; Forensic toxicological analysis; GC/MS; Hair; Headspaee solid-phase microextraction; Urine	"3,4 methylenedioxyamphetamine; 3,4 methylenedioxymethamphetamine; amphetamine derivative; dimeticone; methamphetamine; sodium chloride; Article; gas chromatography; hair analysis; ion monitoring; limit of detection; qualitative analysis; quantitative analysis; solid phase extraction; urinalysis"	Article	Final		Scopus	2-s2.0-84983486817
"Schweitzer W., Marti M., Majcen R., Steinmann P., Thali M., Fornaro J., Ruder T."	6701383301;56401579800;55792801000;56401634300;7005096122;24329197100;23489768100;	"Lethal lung tear and coronary artery gas embolism in shallow water apnea diving exercise - PMCT, PMMRI, autopsy and histology"	2014	Journal of Forensic Radiology and Imaging	2	4		199	204		1	10.1016/j.jofri.2014.06.006	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911959732&doi=10.1016%2fj.jofri.2014.06.006&partnerID=40&md5=33f1b52ba10cd1dace1fc0c9bea4d564	Angiography; Barotrauma; Diving; Post mortem computed tomography; Virtopsy	adult; Article; autopsy; case report; collapse; computed tomographic angiography; computed tomography scanner; computer assisted tomography; coronary artery disease; diving; forensic medicine; gas embolism; heart ventricle; histopathology; human; image analysis; lung barotrauma; lung congestion; lung fibrosis; lung hemorrhage; lung pressure; male; mechanical stress; middle aged; nuclear magnetic resonance imaging; nuclear magnetic resonance scanner; pneumatocele; post mortem computed tomography; post mortem magnetic resonance imaging; resuscitation; right coronary artery; shallow water apnea diving exercise; suffocation; warm up	Article	Final		Scopus	2-s2.0-84911959732
"Suga K., Narita Y., Suzuki S."	56040859000;56040766100;8654989200;	A simple solubility tests for the discrimination of acrylic and modacrylic fibers	2014	Journal of Forensic Sciences	59	3		750	753		1	10.1111/1556-4029.12370	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899074413&doi=10.1111%2f1556-4029.12370&partnerID=40&md5=e0f8a27058c33aec7a6e94a856cd5e1b	"Acrylic fiber; Dissolution test; Fiber; Forensic science; Modacrylic; N,N-dimethylformamide; Trace physical evidence"		Article	Final		Scopus	2-s2.0-84899074413
Graham M.A.	56817863100;	Medicolegal Aspects of Asbestos II — Benign Pleural and Lung Diseases	2013	Academic Forensic Pathology	3	4		407	419		1	10.23907/2013.051	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072737490&doi=10.23907%2f2013.051&partnerID=40&md5=cd66a569e178753fc73b30e0b505b94e	Asbestosis; Forensic pathology; Interstitial lung disease; Pleural disease; Pneumoconiosis		Article	Final		Scopus	2-s2.0-85072737490
"Li H.-X., Cao J., Niu J.-Q., Huang Y.-G."	57196361539;50960980900;50961349900;50961103100;	Study of UV imaging technology for noninvasive detection of latent fingerprints	2013	Proceedings of SPIE - The International Society for Optical Engineering	8905		 89051L				1	10.1117/12.2034451	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888149784&doi=10.1117%2f12.2034451&partnerID=40&md5=3de730d0805b105a20bdd1e2327ff00e	Filter; Fingerprints Identification; Intensified CCD; Uniform illumination; UV imaging; UV laser	Filter; Intensified CCD; Uniform illumination; UV imaging; UV lasers; Imaging systems; Inertial confinement fusion; Light sources; Neodymium lasers; Optical systems; Spectroscopic analysis; Pattern recognition	Conference Paper	Final		Scopus	2-s2.0-84888149784
"Bremmer R.H., Van Gemert M.J.C., Faber D.J., Van Leeuwen T.G., Aalders M.C.G."	26027762200;7005953330;7102551769;7004446554;7003713956;	Diffuse reflectance relations based on diffusion dipole theory for large absorption and reduced scattering	2013	Journal of Biomedical Optics	18	8	87007				1	10.1117/1.JBO.18.8.087007	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892528752&doi=10.1117%2f1.JBO.18.8.087007&partnerID=40&md5=28f049ebbbf50e286e8c60ab0fa90a5e	absorption; biomedical optics; biophotonics; diffusion; reflectance; scattering; spectrometry	"Bio photonics; Biomedical optics; Diffuse reflectance spectrum; Diffuse reflection spectroscopy; Diffusion approximations; Radiative transfer equations; Reduced scattering coefficients; Scattering and absorption; Absorption; Blood; Diffusion; Photonics; Reflection; Scattering; Spectrometry; Absorption spectroscopy; absorption; algorithm; animal; article; biological model; computer assisted diagnosis; computer simulation; diffusion; human; light; methodology; photometry; radiation scattering; reproducibility; sensitivity and specificity; computer assisted diagnosis; photometry; procedures; Absorption; Algorithms; Animals; Computer Simulation; Diffusion; Humans; Image Interpretation, Computer-Assisted; Light; Models, Biological; Nephelometry and Turbidimetry; Reproducibility of Results; Scattering, Radiation; Sensitivity and Specificity; Absorption; Algorithms; Animals; Computer Simulation; Diffusion; Humans; Image Interpretation, Computer-Assisted; Light; Models, Biological; Nephelometry and Turbidimetry; Reproducibility of Results; Scattering, Radiation; Sensitivity and Specificity"	Article	Final	Open Access	Scopus	2-s2.0-84892528752
Osipenkova-Vichtomova T.K.	6603653333;	[Forensic medical implications of histomorphological changes in the bone and cartilage tissues under effect of radiation].	2013	Sudebno-meditsinskaia ekspertiza	56	4		16	21		1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893373632&partnerID=40&md5=b71573aab328802f56dbd880f339ec1e		"adolescent; arthropathy; article; bone; cartilage; child; female; forensic pathology; gamma radiation; human; male; methodology; middle aged; pathologic fracture; pathology; radiation exposure; radiation induced neoplasm; radiation injury; radiation response; time; very elderly; Adolescent; Aged, 80 and over; Bone and Bones; Cartilage; Child; Dose-Response Relationship, Radiation; Female; Forensic Pathology; Fractures, Spontaneous; Gamma Rays; Humans; Joint Deformities, Acquired; Male; Middle Aged; Neoplasms, Radiation-Induced; Radiation Injuries; Time Factors"	Article	Final		Scopus	2-s2.0-84893373632
"Singh J.P., Singh K."	7404420679;57199490914;	Fibre examination: The crucial evidence in forensic science	2013	Asian Textile Journal	22	7		75	79		1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882986490&partnerID=40&md5=f9c57a69e67b8272d36a18ab4b020070			Article	Final		Scopus	2-s2.0-84882986490
Palmer R.	55636317627;	Identification and Comparison	2013	Encyclopedia of Forensic Sciences: Second Edition				129	137		1	10.1016/B978-0-12-382165-2.00092-1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006432149&doi=10.1016%2fB978-0-12-382165-2.00092-1&partnerID=40&md5=f5c278b2db383654c17c4e839c4c7a58	Comparison; Cross-section; Dye; Fibers; Forensic; Identification; Microscopy; Spectroscopy		Book Chapter	Final		Scopus	2-s2.0-85006432149
"Robertson J., Roux C."	7404531595;7202017940;	Fibers: Overview	2013	Encyclopedia of Forensic Sciences: Second Edition				109	112		1	10.1016/B978-0-12-382165-2.00088-X	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006396427&doi=10.1016%2fB978-0-12-382165-2.00088-X&partnerID=40&md5=a67278ded95abaf7596e4a389de4e36e	Damage; Fibers; Interpretation; Microscopy; Persistence; Protocols; Textiles; Transfer		Book Chapter	Final		Scopus	2-s2.0-85006396427
"Parsons N.S., Lam M.H.W., Hamilton S.E."	17342715800;7202630175;36666191600;	Chemical Characterization of Automotive Polyurethane Foam Using Solid-Phase Microextraction and Gas Chromatography-Mass Spectrometry	2013	Journal of Forensic Sciences	58	SUPPL. 1		S186	S191		1	10.1111/j.1556-4029.2012.02283.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872294293&doi=10.1111%2fj.1556-4029.2012.02283.x&partnerID=40&md5=e7a952339e9426d6f0c4530b4db29f84	Automotive; Contamination; Forensic science; Gas chromatography-mass spectrometry; Polyurethane foam; Solid-phase microextraction; Volatile organic compounds		Article	Final		Scopus	2-s2.0-84872294293
"Kabir A., Holness H., Furton K.G., Almirall J.R."	7005744830;55347017000;7004543580;7004960911;	Legal and forensic sampling	2012	Comprehensive Sampling and Sample Preparation	1			441	465		1	10.1016/B978-0-12-381373-2.00003-X	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884031035&doi=10.1016%2fB978-0-12-381373-2.00003-X&partnerID=40&md5=9b8a01e397116df808db92b160d58f12	Analysis of Controlled Substances; Analysis of Fire Debris; Analysis of Toxicants; Arson; Explosives Analysis; Forensic Environmental Analysis; Forensic Field Sampling; Forensic Sampling and Sample Preparation; Gunshot Residue Analysis; Human Decomposition Volatiles; Human Odor Analysis; Ignitable Liquid Residues; Nuclear Forensics; Trace Evidence Analysis		Book Chapter	Final		Scopus	2-s2.0-84884031035
"Tang D.-W., Lin G.-S., Huang J.-L., Liu C., Hao B., Yu Y.-G., Kong X., Quan L., Liao X.-B., Luo B."	23499984300;55357782700;55237711300;56937576100;57212594608;57197520188;24466556700;57201466952;57198698253;56041835000;	Changes of left ventricular myocardial collagen fibers and osteopontin expression in hypertrophic cardiomyopathy	2012	Journal of Forensic Medicine	28	4		247	251		1	10.3969/j.issn.1004-5619.2012.04.002	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866180026&doi=10.3969%2fj.issn.1004-5619.2012.04.002&partnerID=40&md5=a7c2521fc4ef9424d76b667e50a93bfe	"Cardiomyopathy, hypertrophic; Fibrosis; Forensic pathology; Osteopontin"	"collagen; osteopontin; SPP1 protein, human; article; case control study; coronary artery disease; female; fibrosis; forensic pathology; heart muscle; heart ventricle; human; hypertrophic cardiomyopathy; immunohistochemistry; male; metabolism; pathology; pathophysiology; staining; sudden death; Cardiomyopathy, Hypertrophic; Case-Control Studies; Collagen; Coronary Disease; Death, Sudden, Cardiac; Female; Fibrosis; Forensic Pathology; Heart Ventricles; Humans; Immunohistochemistry; Male; Myocardium; Osteopontin; Staining and Labeling"	Article	Final		Scopus	2-s2.0-84866180026
"Mishra S.K., Yadav A.S."	57213026334;57196008485;	Variations in ABH antigenic stability of dried bloodstains from different surfaces with age	2012	Indian Journal of Forensic Medicine and Toxicology	6	2		202	204		1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868330599&partnerID=40&md5=323905669154d26dec75a148f12aff25	ABH antigens; Absorption-elution; Agglutination; Forensic serology; Ulex europaeus	blood group ABH antigen; absorption; analytic method; article; blood stain; child; cotton; dried blood stain; groups by age; human; human tissue; preschool child; room temperature; school child; storage temperature; synthetic fiber; wood	Article	Final		Scopus	2-s2.0-84868330599
"Kieser J., Taylor M., Carr D."	35563406800;24176029100;8049037200;	Forensic Biomechanics	2012	Forensic Biomechanics				1	164		1	10.1002/9781118404249	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984868383&doi=10.1002%2f9781118404249&partnerID=40&md5=3dafb93d60a19a835dfbdaa7d4027f49			Book	Final		Scopus	2-s2.0-84984868383
Carr D.	8049037200;	Fibres and Textiles	2012	Forensic Biomechanics				137	157		1	10.1002/9781118404249.ch6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887156933&doi=10.1002%2f9781118404249.ch6&partnerID=40&md5=7d11923acfc842a77f4d11aed8254902	"Apparel fabric tearing, woven nylon fabric, knicker fabrics; Fabric degradation, forensics in differentiating degradation from damage; Fabrics and quasi-static compression, damage by impact; Fabrics and technical face and rear, ribbed as unbalanced fabrics; Fibre/stock dyeing, fabrics and/or apparel finishing treatment; Fibres and textiles, fibres, yarns, fabrics, apparel and furnishings; Forensic textile, fibre identification as an established component; Knitted fabrics, weft knits and warp knits; Textile product analysis, using textile science terminology; Yarns twisted, as S and Z twist in manufacture"	"Damage detection; Fabrics; Fibers; Nylon textiles; Textile finishing; Yarn; Finishing treatment; Forensic textile, fibre identification as an established component; Nylon fabrics; Quasi-static compression; Textile products; Weft knit; Weaving"	Book Chapter	Final		Scopus	2-s2.0-84887156933
"Gündüz A., Uzun N., Alkan N., Karaali Savrun F., Kiziltan M.E."	57207585812;8985327400;6603134115;56530647000;6603222442;	Injection neuropathies of the sciatic nerve: Experience of an electrophysiology laboratory and medicolegal approach in Turkey [Siyatik sinir enjeksiyon nöropatileri: Bir elektrofizyoloji laboratuar?n?n tecrübesi ve türkiye'de medikolegal yakla??m]	2012	Noropsikiyatri Arsivi	49	3		208	211		1	10.4274/npa.y6200	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866163406&doi=10.4274%2fnpa.y6200&partnerID=40&md5=ef382a582df7fa0193ffad9a087a59c3	Criminal law; Electromyography; Forensic medicine; Intramuscular injection; Sciatic nerve injury; Turkey	adolescent; adult; aged; axonal injury; child; clinical article; clinical feature; demography; female; gluteus maximus muscle; human; injection neuropathy; intramuscular drug administration; laboratory test; male; medicolegal aspect; nervous system electrophysiology; neuropathy; pain; paresthesia; peroneus nerve; preschool child; prognosis; retrospective study; review; school child; sciatic nerve injury; symptom; Turkey (republic); weakness	Review	Final		Scopus	2-s2.0-84866163406
"Balbi T., Ghimenton C., Pasquinelli G., Foroni L., Grillini M., Pierini G."	6602375012;6602219161;7006477246;16031196000;36191790600;7003408652;	Advancement in the examination of the human cardiac sinus node: An unexpected architecture and a novel cell type could interest the forensic science	2011	American Journal of Forensic Medicine and Pathology	32	2		112	118		1	10.1097/PAF.0b013e3181ce9f23	https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958006772&doi=10.1097%2fPAF.0b013e3181ce9f23&partnerID=40&md5=9b6d71d2b19c4b17c7d77619262225db	forensic sciences; scanning and transmission electron microscopy; sinus node	"desmin; protein S 100; stem cell factor receptor; synaptophysin; vimentin; article; cholinergic nerve; heart muscle cell; histology; human; immunohistochemistry; metabolism; scanning electron microscopy; sinus node; staining; transmission electron microscopy; ultrastructure; Cholinergic Fibers; Desmin; Humans; Immunohistochemistry; Microscopy, Electron, Scanning; Microscopy, Electron, Transmission; Myocytes, Cardiac; Proto-Oncogene Proteins c-kit; S100 Proteins; Sinoatrial Node; Staining and Labeling; Synaptophysin; Vimentin"	Article	Final		Scopus	2-s2.0-79958006772
"Reschiglian P., Zattoni A., Rambaldi D.C., Roda A., Hee Moon M."	7003908835;6602768180;22935263700;7103409563;7202278264;	Hollow-fiber flow field-flow fractionation for mass spectrometry: From proteins to whole bacteria	2011	NATO Science for Peace and Security Series A: Chemistry and Biology				13	36		1	10.1007/978-90-481-9815-3-2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650505154&doi=10.1007%2f978-90-481-9815-3-2&partnerID=40&md5=f8886d1b4d7484c4b52b0aebcc7ef6b8	Field-flow fractionation; Forensic analysis; Hollow-fiber flow field-flow fractionation; Mass spectrometry; Proteomics Bacteria identification	Bacteria (microorganisms)	Conference Paper	Final		Scopus	2-s2.0-78650505154
"Suchan M., Lechowicz W."	36669531600;7004361927;	Determination of inhalation anaesthetics in blood by means of gas chromatography-mass spectrometry detection using headspace solid-phase microextraction (HS-SPME-GC-MS) [Oznaczenie wziewnych anestetyków we krwi metoda? chromatografii gazowej z detekcja? mas z wykorzystaniem nadpowierzchniowej mikroekstrakcji do fazy sta?ej (HS-SPME-GC-MS)]	2010	Z Zagadnien Nauk Sadowych	82			173	183		1		https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650013544&partnerID=40&md5=0c711d78b15d003c315ac1c770ba7da6	Anaesthetics; Blood; SPME-GC-MS; Volatile organic compounds (VOC)	desflurane; errane; isoflurane; sevoflurane; unclassified drug; accuracy; article; blood storage; drug blood level; drug determination; drug isolation; gas chromatography; human; inhalation anesthesia; low temperature; mass spectrometry; quantitative analysis; solid phase microextraction	Article	Final		Scopus	2-s2.0-78650013544
